Date,Event,Fighter1,Fighter2,Method,Note,Result,Round,Time,Time (secs),Weight class
1995-12-16,UFC: The Ultimate Ultimate,Marco Ruas,Keith Hackney,Submission (rear-naked choke),-,def.,1.0,2:39,159,-
1995-12-16,UFC: The Ultimate Ultimate,Tank Abbott,Steve Jennum,Submission (neck crank),-,def.,1.0,1:14,74,-
1995-12-16,UFC: The Ultimate Ultimate,Dan Severn,Oleg Taktarov,Unanimous Decision,-,def.,1.0,30:00,1800,-
1995-12-16,UFC: The Ultimate Ultimate,Dan Severn,Tank Abbott,Unanimous Decision,-,def.,1.0,18:00,1080,-
1995-12-16,UFC: The Ultimate Ultimate,Oleg Taktarov,Dave Beneteau,Submission (achilles hold),-,def.,1.0,1:15,75,-
1995-12-16,UFC: The Ultimate Ultimate,Joe Charles,Scott Bessac,Submission (armlock),-,def.,1.0,4:38,278,-
1995-12-16,UFC: The Ultimate Ultimate,Mark Hall,Trent Jenkins,Submission (armlock),-,def.,1.0,5:29,329,-
1995-12-16,UFC: The Ultimate Ultimate,Dan Severn,Paul Varelans,Submission (arm-triangle choke),-,def.,1.0,1:01,61,-
1995-12-16,UFC: The Ultimate Ultimate,Oleg Taktarov,Marco Ruas,Unanimous Decision,-,def.,1.0,18:00,1080,-
1996-02-16,UFC 8: David vs. Goliath,Gary Goodridge,Paul Herrera,KO (elbows),-,def.,1.0,0:13,13,-
1996-02-16,UFC 8: David vs. Goliath,Jerry Bohlander,Scott Ferrozzo,Submission (guillotine choke),-,def.,1.0,9:03,543,-
1996-02-16,UFC 8: David vs. Goliath,Sam Adkins,Keith Mielke,Submission (punches),-,def.,1.0,0:50,50,-
1996-02-16,UFC 8: David vs. Goliath,Ken Shamrock (c),Kimo Leopoldo,Submission (kneebar),[a],def.,1.0,4:24,264,-
1996-02-16,UFC 8: David vs. Goliath,Paul Varelans,Joe Moreira,Unanimous Decision,[c],def.,1.0,10:00,600,-
1996-02-16,UFC 8: David vs. Goliath,Don Frye,Sam Adkins,TKO (doctor stoppage),[b],def.,1.0,0:48,48,-
1996-02-16,UFC 8: David vs. Goliath,Don Frye,Gary Goodridge,Submission (position),-,def.,1.0,2:14,134,-
1996-02-16,UFC 8: David vs. Goliath,Gary Goodridge,Jerry Bohlander,TKO (punches),-,def.,1.0,5:31,331,-
1996-02-16,UFC 8: David vs. Goliath,Don Frye,Thomas Ramirez,KO (punch),-,def.,1.0,0:08,8,-
1996-05-17,UFC 9: Motor City Madness,Don Frye,Amaury Bitetti,TKO (punches),-,def.,1.0,9:22,562,-
1996-05-17,UFC 9: Motor City Madness,Mark Hall,Koji Kitao,TKO (doctor stoppage - broken nose),-,def.,1.0,0:40,40,-
1996-05-17,UFC 9: Motor City Madness,Mark Schultz,Gary Goodridge,TKO (cut),-,def.,1.0,12:00,720,-
1996-05-17,UFC 9: Motor City Madness,Rafael Carino,Matt Andersen,TKO (punches),-,def.,1.0,5:32,332,-
1996-05-17,UFC 9: Motor City Madness,Cal Worsham,Zane Frazier,TKO (punches),-,def.,1.0,3:14,194,-
1996-05-17,UFC 9: Motor City Madness,Steve Nelmark,Tai Bowden,TKO (doctor stoppage),-,def.,1.0,7:25,445,-
1996-05-17,UFC 9: Motor City Madness,Dan Severn,Ken Shamrock (c),Split decision,[a],def.,1.0,30:00,1800,-
1996-07-12,UFC 10: The Tournament,Don Frye,Brian Johnston,Submission (elbow),-,def.,1.0,4:37,277,-
1996-07-12,UFC 10: The Tournament,Brian Johnston,Scott Fiedler,Submission (punches),-,def.,1.0,2:25,145,-
1996-07-12,UFC 10: The Tournament,Geza Kalman,Dieuseul Berto,TKO (punches),-,def.,1.0,5:57,357,-
1996-07-12,UFC 10: The Tournament,Gary Goodridge,John Campetella,KO (punches),-,def.,1.0,1:28,88,-
1996-07-12,UFC 10: The Tournament,Mark Coleman,Moti Horenstein,Submission (punches),-,def.,1.0,2:43,163,-
1996-07-12,UFC 10: The Tournament,Mark Coleman,Gary Goodridge,Submission (exhaustion),-,def.,1.0,7:00,420,-
1996-07-12,UFC 10: The Tournament,Don Frye,Mark Hall,TKO (punches),-,def.,1.0,10:21,621,-
1996-07-12,UFC 10: The Tournament,Mark Coleman,Don Frye,TKO (punches),-,def.,1.0,11:34,694,-
1996-07-12,UFC 10: The Tournament,Sam Adkins,Felix Mitchell,Unanimous decision,-,def.,1.0,10:00,600,-
1996-09-20,UFC 11: The Proving Ground,Scott Ferrozzo,Sam Fulton,Submission (strikes),-,def.,1.0,1:45,105,-
1996-09-20,UFC 11: The Proving Ground,Mark Coleman,Brian Johnston,Submission (strikes),-,def.,1.0,2:20,140,-
1996-09-20,UFC 11: The Proving Ground,Jerry Bohlander,Fabio Gurgel,Unanimous decision,-,def.,1.0,15:00,900,-
1996-09-20,UFC 11: The Proving Ground,Tank Abbott,Sam Adkins,Submission (forearm choke),-,def.,1.0,2:06,126,-
1996-09-20,UFC 11: The Proving Ground,Brian Johnston,Reza Nasri,TKO (strikes),-,def.,1.0,0:28,28,-
1996-09-20,UFC 11: The Proving Ground,Mark Coleman,Julian Sanchez,Submission (scarf hold choke),-,def.,1.0,0:45,45,-
1996-09-20,UFC 11: The Proving Ground,Mark Coleman,Scott Ferrozzo,Walkover (injury),[a],def.,1.0,00:00,0,-
1996-09-20,UFC 11: The Proving Ground,Scott Ferrozzo,Tank Abbott,Unanimous decision,[b],def.,1.0,18:00,1080,-
1996-09-20,UFC 11: The Proving Ground,Roberto Traven,Dave Berry,Submission (strikes),[c],def.,1.0,1:23,83,-
