Date,Event,ROUND,TIME,Results_1,Results_2,Fighter_1,Fighter_2,WEIGHT CLASS,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,PASS_1,PASS_2,METHOD_result,METHOD_note,Date.1,Event.1,Fighter_R,Fighter_B,METHOD,ROUND.1,TIME.1,TIME_FORMAT,REFEREE,KD_R,KD_B,SIG_STR_R,SIG_STR_B,pSIG_STR_R,pSIG_STR_B,TOTAL_STR_R,TOTAL_STR_B,TD_R,TD_B,pTD_R,pTD_B,SUB_ATT_R,SUB_ATT_B,PASS_R,PASS_B,REV_R,REV_B,HEAD_R,HEAD_B,BODY_R,BODY_B,LEG_R,LEG_B,CLINCH_R,CLINCH_B,DISTANCE_R,DISTANCE_B,GROUND_R,GROUND_B
2001-05-04,UFC 31: Locked and Loaded,5,5:00,win,-,Randy Couture,Pedro Rizzo,Heavyweight,69.0,42.0,3.0,0.0,0.0,0.0,2.0,0.0,U-DEC,-,2001-05-04,UFC 31: Locked and Loaded,Randy Couture,Pedro Rizzo,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,0.0,1.0,69 of 118,42 of 108,58%,38%,147 of 197,76 of 144,3 of 15,0 of 0,20%,0%,0.0,0.0,2.0,0.0,0.0,0.0,51 of 96,27 of 90,3 of 4,3 of 3,15 of 18,12 of 15,20 of 26,7 of 14,28 of 57,29 of 85,21 of 35,6 of 9
2001-05-04,UFC 31: Locked and Loaded,1,1:18,win,-,Chuck Liddell,Kevin Randleman,Light Heavyweight,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punch,2001-05-04,UFC 31: Locked and Loaded,Chuck Liddell,Kevin Randleman,KO/TKO,1,1:18,3 Rnd (5-5-5),John McCarthy,1.0,0.0,3 of 5,0 of 0,60%,0%,4 of 6,1 of 1,0 of 0,0 of 2,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,2 of 4,0 of 0,1 of 1,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0,2 of 4,0 of 0,0 of 0,0 of 0
2001-05-04,UFC 31: Locked and Loaded,3,4:21,win,-,Matt Lindland,Ricardo Almeida,Light Heavyweight,22.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,DQ,-,2001-05-04,UFC 31: Locked and Loaded,Matt Lindland,Ricardo Almeida,DQ,3,4:21,3 Rnd (5-5-5),Mario Yamasaki,0.0,0.0,22 of 49,9 of 18,44%,50%,118 of 153,16 of 25,5 of 5,0 of 1,100%,0%,0.0,0.0,1.0,0.0,0.0,0.0,15 of 36,6 of 13,3 of 5,0 of 2,4 of 8,3 of 3,7 of 11,1 of 3,3 of 12,5 of 12,12 of 26,3 of 3
2001-05-04,UFC 31: Locked and Loaded,1,4:57,win,-,BJ Penn,Joey Gilbert,Lightweight,22.0,3.0,2.0,0.0,0.0,0.0,5.0,0.0,KO/TKO,Punches,2001-05-04,UFC 31: Locked and Loaded,BJ Penn,Joey Gilbert,KO/TKO,1,4:57,3 Rnd (5-5-5),John McCarthy,0.0,0.0,22 of 32,3 of 7,68%,42%,76 of 86,11 of 15,2 of 2,0 of 1,100%,0%,0.0,0.0,5.0,0.0,0.0,0.0,18 of 28,0 of 4,4 of 4,2 of 2,0 of 0,1 of 1,3 of 3,2 of 2,3 of 8,1 of 5,16 of 21,0 of 0
2001-05-04,UFC 31: Locked and Loaded,2,1:28,win,-,Semmy Schilt,Pete Williams,Heavyweight,15.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,KO/TKO,Punch,2001-05-04,UFC 31: Locked and Loaded,Semmy Schilt,Pete Williams,KO/TKO,2,1:28,3 Rnd (5-5-5),John McCarthy,2.0,0.0,15 of 26,6 of 9,57%,66%,22 of 34,14 of 18,0 of 0,1 of 4,0%,25%,0.0,0.0,0.0,2.0,0.0,0.0,5 of 14,6 of 8,8 of 9,0 of 0,2 of 3,0 of 1,2 of 4,0 of 0,11 of 20,1 of 3,2 of 2,5 of 6
2001-05-04,UFC 31: Locked and Loaded,3,5:00,win,-,Tony DeSouza,Steve Berger,Welterweight,28.0,2.0,5.0,0.0,0.0,3.0,3.0,1.0,U-DEC,-,2001-05-04,UFC 31: Locked and Loaded,Tony DeSouza,Steve Berger,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,0.0,0.0,28 of 48,2 of 18,58%,11%,51 of 71,108 of 129,5 of 5,0 of 0,100%,0%,0.0,3.0,3.0,1.0,0.0,1.0,27 of 47,2 of 18,1 of 1,0 of 0,0 of 0,0 of 0,2 of 3,0 of 1,1 of 6,2 of 17,25 of 39,0 of 0
2001-06-29,UFC 32: Showdown in the Meadowlands,1,1:05,win,-,Tony DeSouza,Paul Rodriguez,Lightweight,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,SUB,Guillotine Choke,2001-06-29,UFC 32: Showdown in the Meadowlands,Tony DeSouza,Paul Rodriguez,Submission,1,1:05,3 Rnd (5-5-5),Mario Yamasaki,0.0,0.0,1 of 3,2 of 2,33%,100%,1 of 3,2 of 2,0 of 0,0 of 1,0%,0%,2.0,0.0,0.0,0.0,0.0,0.0,1 of 3,0 of 0,0 of 0,0 of 0,0 of 0,2 of 2,0 of 0,0 of 0,1 of 3,2 of 2,0 of 0,0 of 0
2001-06-29,UFC 32: Showdown in the Meadowlands,3,1:23,win,-,Ricco Rodriguez,Andrei Arlovski,Heavyweight,30.0,11.0,2.0,0.0,1.0,0.0,6.0,0.0,KO/TKO,Punches,2001-06-29,UFC 32: Showdown in the Meadowlands,Ricco Rodriguez,Andrei Arlovski,KO/TKO,3,1:23,3 Rnd (5-5-5),Mason White,0.0,0.0,30 of 50,11 of 26,60%,42%,64 of 84,18 of 33,2 of 8,0 of 1,25%,0%,1.0,0.0,6.0,0.0,1.0,0.0,23 of 43,10 of 25,3 of 3,0 of 0,4 of 4,1 of 1,3 of 3,4 of 7,7 of 19,7 of 19,20 of 28,0 of 0
2001-06-29,UFC 32: Showdown in the Meadowlands,3,5:00,win,-,Vladimir Matyushenko,Yuki Kondo,Light Heavyweight,17.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,U-DEC,-,2001-06-29,UFC 32: Showdown in the Meadowlands,Vladimir Matyushenko,Yuki Kondo,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,0.0,0.0,17 of 28,1 of 3,60%,33%,119 of 146,79 of 83,3 of 3,0 of 2,100%,0%,0.0,0.0,4.0,0.0,0.0,0.0,12 of 22,0 of 0,5 of 6,1 of 3,0 of 0,0 of 0,1 of 1,0 of 1,1 of 2,1 of 2,15 of 25,0 of 0
2001-06-29,UFC 32: Showdown in the Meadowlands,1,1:48,win,-,Caol Uno,Fabiano Iha,Lightweight,8.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,KO/TKO,Punches,2001-06-29,UFC 32: Showdown in the Meadowlands,Caol Uno,Fabiano Iha,KO/TKO,1,1:48,3 Rnd (5-5-5),Mario Yamasaki,0.0,0.0,8 of 17,6 of 13,47%,46%,14 of 24,7 of 14,2 of 4,0 of 0,50%,0%,0.0,1.0,0.0,0.0,0.0,0.0,7 of 16,4 of 11,0 of 0,0 of 0,1 of 1,2 of 2,0 of 1,1 of 3,2 of 6,5 of 10,6 of 10,0 of 0
2001-06-29,UFC 32: Showdown in the Meadowlands,2,2:42,win,-,Pat Miletich,Shonie Carter,Welterweight,10.0,14.0,1.0,0.0,0.0,0.0,2.0,0.0,KO/TKO,Kick,2001-06-29,UFC 32: Showdown in the Meadowlands,Pat Miletich,Shonie Carter,KO/TKO,2,2:42,3 Rnd (5-5-5),Mario Yamasaki,1.0,0.0,10 of 16,14 of 42,62%,33%,76 of 83,18 of 47,1 of 1,0 of 0,100%,0%,0.0,0.0,2.0,0.0,0.0,0.0,7 of 13,1 of 26,1 of 1,6 of 8,2 of 2,7 of 8,4 of 6,4 of 5,6 of 10,10 of 37,0 of 0,0 of 0
2001-06-29,UFC 32: Showdown in the Meadowlands,1,4:21,win,-,Josh Barnett,Semmy Schilt,Heavyweight,10.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,SUB,Armbar,2001-06-29,UFC 32: Showdown in the Meadowlands,Josh Barnett,Semmy Schilt,Submission,1,4:21,3 Rnd (5-5-5),John McCarthy,0.0,0.0,10 of 17,1 of 1,58%,100%,21 of 28,4 of 6,1 of 1,0 of 0,100%,0%,1.0,0.0,2.0,0.0,0.0,0.0,10 of 17,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0,0 of 1,1 of 1,10 of 16,0 of 0
2001-06-29,UFC 32: Showdown in the Meadowlands,1,2:42,win,-,BJ Penn,Din Thomas,Lightweight,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,KO/TKO,Knee,2001-06-29,UFC 32: Showdown in the Meadowlands,BJ Penn,Din Thomas,KO/TKO,1,2:42,3 Rnd (5-5-5),John McCarthy,1.0,0.0,6 of 8,1 of 5,75%,20%,11 of 13,25 of 29,0 of 1,1 of 1,0%,100%,0.0,0.0,0.0,0.0,0.0,0.0,3 of 5,1 of 5,3 of 3,0 of 0,0 of 0,0 of 0,4 of 4,0 of 0,0 of 2,0 of 2,2 of 2,1 of 3
2001-06-29,UFC 32: Showdown in the Meadowlands,1,3:32,win,-,Tito Ortiz,Elvis Sinosic,Light Heavyweight,35.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Elbows,2001-06-29,UFC 32: Showdown in the Meadowlands,Tito Ortiz,Elvis Sinosic,KO/TKO,1,3:32,5 Rnd (5-5-5-5-5),John McCarthy,0.0,0.0,35 of 59,3 of 8,59%,37%,58 of 82,12 of 18,1 of 1,0 of 0,100%,0%,0.0,0.0,0.0,0.0,0.0,0.0,32 of 55,2 of 3,1 of 2,0 of 1,2 of 2,1 of 4,1 of 3,0 of 0,3 of 9,3 of 8,31 of 47,0 of 0
2001-09-28,UFC 33: Victory in Vegas,5,5:00,win,-,Tito Ortiz,Vladimir Matyushenko,Light Heavyweight,64.0,19.0,5.0,1.0,0.0,0.0,2.0,0.0,U-DEC,-,2001-09-28,UFC 33: Victory in Vegas,Tito Ortiz,Vladimir Matyushenko,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,0.0,0.0,64 of 84,19 of 49,76%,38%,248 of 269,103 of 138,5 of 9,1 of 6,55%,16%,0.0,0.0,2.0,0.0,0.0,0.0,17 of 37,9 of 38,8 of 8,3 of 4,39 of 39,7 of 7,47 of 49,11 of 13,5 of 15,8 of 36,12 of 20,0 of 0
