Date,Event,ROUND,TIME,Results_1,Results_2,Fighter_1,Fighter_2,WEIGHT CLASS,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,PASS_1,PASS_2,METHOD_result,METHOD_note,Date.1,Event.1,Fighter_R,Fighter_B,METHOD,ROUND.1,TIME.1,TIME_FORMAT,REFEREE,KD_R,KD_B,SIG_STR_R,SIG_STR_B,pSIG_STR_R,pSIG_STR_B,TOTAL_STR_R,TOTAL_STR_B,TD_R,TD_B,pTD_R,pTD_B,SUB_ATT_R,SUB_ATT_B,PASS_R,PASS_B,REV_R,REV_B,HEAD_R,HEAD_B,BODY_R,BODY_B,LEG_R,LEG_B,CLINCH_R,CLINCH_B,DISTANCE_R,DISTANCE_B,GROUND_R,GROUND_B
2014-09-27,UFC 178: Johnson vs Cariaso,2,4:56,win,-,Manvel Gamburyan,Cody Gibson,Bantamweight,11.0,49.0,2.0,1.0,1.0,0.0,0.0,3.0,SUB,Guillotine Choke,2014-09-27,UFC 178: Johnson vs Cariaso,Manvel Gamburyan,Cody Gibson,Submission,2,4:56,3 Rnd (5-5-5),Chris Tognoni,0.0,1.0,11 of 52,49 of 118,21%,41%,20 of 63,61 of 131,2 of 6,1 of 2,33%,50%,1.0,0.0,0.0,3.0,0.0,0.0,5 of 43,35 of 103,2 of 4,11 of 12,4 of 5,3 of 3,3 of 8,17 of 25,8 of 43,28 of 86,0 of 1,4 of 7
2014-09-27,UFC 178: Johnson vs Cariaso,2,2:29,win,-,Demetrious Johnson,Chris Cariaso,Flyweight,27.0,6.0,1.0,0.0,2.0,0.0,4.0,0.0,SUB,Kimura,2014-09-27,UFC 178: Johnson vs Cariaso,Demetrious Johnson,Chris Cariaso,Submission,2,2:29,5 Rnd (5-5-5-5-5),Herb Dean,0.0,0.0,27 of 43,6 of 27,62%,22%,47 of 66,13 of 35,1 of 1,0 of 1,100%,0%,2.0,0.0,4.0,0.0,0.0,0.0,12 of 24,1 of 19,13 of 15,2 of 3,2 of 4,3 of 5,10 of 11,2 of 2,7 of 18,4 of 25,10 of 14,0 of 0
2014-09-27,UFC 178: Johnson vs Cariaso,3,5:00,win,-,Donald Cerrone,Eddie Alvarez,Lightweight,88.0,48.0,0.0,0.0,0.0,0.0,1.0,0.0,U-DEC,-,2014-09-27,UFC 178: Johnson vs Cariaso,Donald Cerrone,Eddie Alvarez,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,1.0,0.0,88 of 166,48 of 138,53%,34%,101 of 182,64 of 157,0 of 2,0 of 5,0%,0%,0.0,0.0,1.0,0.0,0.0,0.0,34 of 104,36 of 111,28 of 35,10 of 24,26 of 27,2 of 3,17 of 23,14 of 24,65 of 132,34 of 114,6 of 11,0 of 0
2014-09-27,UFC 178: Johnson vs Cariaso,3,0:58,win,-,Yoel Romero,Tim Kennedy,Middleweight,39.0,30.0,3.0,0.0,0.0,1.0,1.0,0.0,KO/TKO,Punch,2014-09-27,UFC 178: Johnson vs Cariaso,Tim Kennedy,Yoel Romero,KO/TKO,3,0:58,3 Rnd (5-5-5),John McCarthy,0.0,2.0,30 of 86,39 of 80,34%,48%,32 of 88,51 of 93,0 of 6,3 of 4,0%,75%,1.0,0.0,0.0,1.0,0.0,0.0,17 of 58,28 of 62,9 of 21,3 of 6,4 of 7,8 of 12,9 of 15,5 of 8,21 of 71,25 of 58,0 of 0,9 of 14
2014-09-27,UFC 178: Johnson vs Cariaso,1,1:46,win,-,Conor McGregor,Dustin Poirier,Featherweight,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punch,2014-09-27,UFC 178: Johnson vs Cariaso,Dustin Poirier,Conor McGregor,KO/TKO,1,1:46,3 Rnd (5-5-5),Herb Dean,0.0,1.0,10 of 19,9 of 29,52%,31%,10 of 19,9 of 29,0 of 0,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,3 of 11,8 of 25,0 of 0,1 of 4,7 of 8,0 of 0,0 of 0,0 of 0,10 of 19,5 of 25,0 of 0,4 of 4
2014-09-27,UFC 178: Johnson vs Cariaso,3,5:00,win,-,Jorge Masvidal,James Krause,Lightweight,69.0,58.0,2.0,0.0,0.0,0.0,2.0,0.0,U-DEC,-,2014-09-27,UFC 178: Johnson vs Cariaso,Jorge Masvidal,James Krause,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,1.0,0.0,69 of 157,58 of 145,43%,40%,85 of 176,61 of 148,2 of 4,0 of 5,50%,0%,0.0,0.0,2.0,0.0,1.0,0.0,42 of 119,44 of 117,23 of 29,8 of 18,4 of 9,6 of 10,13 of 16,1 of 3,54 of 139,57 of 142,2 of 2,0 of 0
2014-09-27,UFC 178: Johnson vs Cariaso,3,5:00,win,-,Stephen Thompson,Patrick Cote,Welterweight,64.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,U-DEC,-,2014-09-27,UFC 178: Johnson vs Cariaso,Patrick Cote,Stephen Thompson,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,0.0,1.0,53 of 123,64 of 134,43%,47%,55 of 125,67 of 138,0 of 8,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,9 of 52,46 of 109,8 of 26,9 of 16,36 of 45,9 of 9,12 of 14,8 of 9,41 of 109,52 of 116,0 of 0,4 of 9
2014-09-27,UFC 178: Johnson vs Cariaso,3,5:00,win,-,Brian Ebersole,John Howard,Welterweight,49.0,42.0,1.0,2.0,0.0,0.0,2.0,2.0,S-DEC,-,2014-09-27,UFC 178: Johnson vs Cariaso,John Howard,Brian Ebersole,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,0.0,0.0,42 of 66,49 of 94,63%,52%,97 of 128,104 of 156,2 of 4,1 of 5,50%,20%,0.0,0.0,2.0,2.0,0.0,1.0,19 of 40,21 of 53,8 of 10,7 of 14,15 of 16,21 of 27,16 of 26,13 of 18,26 of 40,32 of 72,0 of 0,4 of 4
2014-09-27,UFC 178: Johnson vs Cariaso,3,5:00,win,-,Kevin Lee,Jon Tuck,Lightweight,74.0,30.0,4.0,0.0,0.0,2.0,3.0,0.0,U-DEC,-,2014-09-27,UFC 178: Johnson vs Cariaso,Jon Tuck,Kevin Lee,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,0.0,0.0,30 of 80,74 of 157,37%,47%,68 of 125,100 of 190,0 of 0,4 of 9,0%,44%,2.0,0.0,0.0,3.0,0.0,0.0,13 of 60,53 of 131,10 of 13,21 of 26,7 of 7,0 of 0,7 of 14,19 of 27,20 of 61,24 of 84,3 of 5,31 of 46
2014-09-27,UFC 178: Johnson vs Cariaso,3,1:21,win,-,Cat Zingano,Amanda Nunes,Women's Bantamweight,40.0,22.0,3.0,1.0,3.0,0.0,5.0,1.0,KO/TKO,Punches,2014-09-27,UFC 178: Johnson vs Cariaso,Cat Zingano,Amanda Nunes,KO/TKO,3,1:21,3 Rnd (5-5-5),Jason Herzog,0.0,0.0,40 of 60,22 of 37,66%,59%,93 of 116,36 of 54,3 of 3,1 of 2,100%,50%,3.0,0.0,5.0,1.0,0.0,0.0,31 of 49,19 of 34,7 of 9,1 of 1,2 of 2,2 of 2,7 of 8,1 of 3,1 of 5,1 of 2,32 of 47,20 of 32
2014-09-27,UFC 178: Johnson vs Cariaso,1,1:01,win,-,Dominick Cruz,Takeya Mizugaki,Bantamweight,26.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,KO/TKO,Punches,2014-09-27,UFC 178: Johnson vs Cariaso,Dominick Cruz,Takeya Mizugaki,KO/TKO,1,1:01,3 Rnd (5-5-5),Chris Tognoni,0.0,0.0,26 of 35,2 of 10,74%,20%,26 of 35,3 of 11,2 of 2,0 of 0,100%,0%,0.0,0.0,1.0,0.0,0.0,0.0,26 of 35,2 of 9,0 of 0,0 of 1,0 of 0,0 of 0,0 of 0,0 of 0,4 of 9,2 of 10,22 of 26,0 of 0
2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,2,3:22,win,-,Olivier Aubin-Mercier,Jake Lindsey,Lightweight,31.0,24.0,2.0,1.0,1.0,0.0,4.0,1.0,SUB,Other - Choke,2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,Olivier Aubin-Mercier,Jake Lindsey,Submission,2,3:22,3 Rnd (5-5-5),Brad Jardine,0.0,0.0,31 of 48,24 of 52,64%,46%,44 of 61,82 of 111,2 of 5,1 of 1,40%,100%,1.0,0.0,4.0,1.0,0.0,0.0,22 of 38,3 of 22,7 of 8,6 of 11,2 of 2,15 of 19,3 of 3,4 of 6,25 of 40,19 of 44,3 of 5,1 of 2
2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,3,5:00,win,-,Daron Cruickshank,Anthony Njokuani,Lightweight,42.0,40.0,6.0,0.0,0.0,0.0,1.0,0.0,U-DEC,-,2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,Daron Cruickshank,Anthony Njokuani,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,0.0,0.0,42 of 103,40 of 91,40%,43%,54 of 116,44 of 95,6 of 12,0 of 1,50%,0%,0.0,0.0,1.0,0.0,0.0,0.0,28 of 79,10 of 49,6 of 14,10 of 18,8 of 10,20 of 24,2 of 4,2 of 3,29 of 86,38 of 88,11 of 13,0 of 0
2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,1,2:06,win,-,Mitch Gagnon,Roman Salazar,Bantamweight,5.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,SUB,Rear Naked Choke,2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,Mitch Gagnon,Roman Salazar,Submission,1,2:06,3 Rnd (5-5-5),Cyril Desjardins,0.0,0.0,5 of 17,3 of 6,29%,50%,6 of 18,3 of 6,1 of 2,0 of 2,50%,0%,1.0,0.0,1.0,0.0,0.0,0.0,5 of 16,1 of 4,0 of 1,1 of 1,0 of 0,1 of 1,1 of 2,1 of 1,3 of 13,2 of 5,1 of 2,0 of 0
2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,3,5:00,win,-,Nordine Taleb,Jingliang Li,Welterweight,66.0,43.0,2.0,2.0,0.0,0.0,0.0,0.0,S-DEC,-,2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,Nordine Taleb,Jingliang Li,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,0.0,0.0,66 of 115,43 of 147,57%,29%,92 of 141,57 of 165,2 of 4,2 of 8,50%,25%,0.0,0.0,0.0,0.0,0.0,0.0,49 of 96,22 of 118,7 of 9,2 of 4,10 of 10,19 of 25,5 of 6,3 of 4,61 of 107,40 of 143,0 of 2,0 of 0
2014-10-04,UFC Fight Night: Nelson vs Story,3,5:00,win,-,Magnus Cedenblad,Scott Askham,Middleweight,23.0,42.0,3.0,0.0,0.0,0.0,1.0,0.0,U-DEC,-,2014-10-04,UFC Fight Night: Nelson vs Story,Magnus Cedenblad,Scott Askham,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,0.0,1.0,23 of 34,42 of 51,67%,82%,179 of 193,86 of 95,3 of 6,0 of 1,50%,0%,0.0,0.0,1.0,0.0,0.0,0.0,10 of 19,16 of 22,5 of 7,12 of 14,8 of 8,14 of 15,11 of 13,24 of 26,10 of 18,16 of 23,2 of 3,2 of 2
2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,3,5:00,win,-,Chad Laprise,Yosdenis Cedeno,Lightweight,35.0,17.0,4.0,0.0,0.0,0.0,5.0,0.0,U-DEC,-,2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,Chad Laprise,Yosdenis Cedeno,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Cyril Desjardins,0.0,0.0,35 of 83,17 of 94,42%,18%,55 of 106,26 of 107,4 of 7,0 of 1,57%,0%,0.0,0.0,5.0,0.0,0.0,2.0,18 of 64,6 of 76,4 of 6,4 of 8,13 of 13,7 of 10,5 of 8,5 of 6,30 of 75,12 of 87,0 of 0,0 of 1
2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,3,5:00,win,-,Raphael Assuncao,Bryan Caraway,Bantamweight,75.0,39.0,2.0,2.0,0.0,0.0,0.0,0.0,U-DEC,-,2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,Raphael Assuncao,Bryan Caraway,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,0.0,0.0,75 of 133,39 of 128,56%,30%,83 of 141,46 of 139,2 of 6,2 of 8,33%,25%,0.0,0.0,0.0,0.0,0.0,0.0,39 of 94,26 of 105,11 of 13,6 of 10,25 of 26,7 of 13,18 of 28,5 of 15,56 of 103,34 of 113,1 of 2,0 of 0
2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,3,1:28,win,-,Rory MacDonald,Tarec Saffiedine,Welterweight,47.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punch,2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,Rory MacDonald,Tarec Saffiedine,KO/TKO,3,1:28,5 Rnd (5-5-5-5-5),Herb Dean,1.0,0.0,47 of 111,42 of 136,42%,30%,48 of 113,42 of 136,1 of 3,0 of 0,33%,0%,0.0,0.0,0.0,0.0,0.0,0.0,35 of 94,18 of 104,5 of 10,2 of 5,7 of 7,22 of 27,0 of 2,0 of 0,40 of 101,42 of 136,7 of 8,0 of 0
2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,3,5:00,win,-,Paul Felder,Jason Saggo,Lightweight,51.0,29.0,1.0,6.0,0.0,0.0,1.0,7.0,S-DEC,-,2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,Jason Saggo,Paul Felder,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,1.0,0.0,29 of 50,51 of 84,58%,60%,45 of 77,72 of 109,6 of 16,1 of 1,37%,100%,0.0,0.0,7.0,1.0,1.0,0.0,21 of 38,44 of 77,3 of 5,4 of 4,5 of 7,3 of 3,4 of 5,15 of 21,14 of 29,12 of 26,11 of 16,24 of 37
2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,3,5:00,win,-,Elias Theodorou,Bruno Santos,Middleweight,43.0,16.0,3.0,4.0,0.0,0.0,2.0,2.0,U-DEC,-,2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,Elias Theodorou,Bruno Santos,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Brad Jardine,0.0,0.0,43 of 106,16 of 40,40%,40%,104 of 178,29 of 54,3 of 7,4 of 6,42%,66%,0.0,0.0,2.0,2.0,0.0,0.0,18 of 75,10 of 34,21 of 27,4 of 4,4 of 4,2 of 2,16 of 24,7 of 9,21 of 76,9 of 31,6 of 6,0 of 0
2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,3,5:00,win,-,Chris Kelades,Paddy Holohan,Flyweight,50.0,26.0,2.0,3.0,1.0,0.0,5.0,4.0,U-DEC,-,2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,Paddy Holohan,Chris Kelades,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Cyril Desjardins,0.0,0.0,26 of 45,50 of 85,57%,58%,55 of 76,88 of 128,3 of 6,2 of 5,50%,40%,0.0,1.0,4.0,5.0,0.0,0.0,13 of 30,30 of 62,5 of 7,15 of 17,8 of 8,5 of 6,1 of 2,15 of 16,17 of 34,9 of 28,8 of 9,26 of 41
2014-10-04,UFC Fight Night: Nelson vs Story,3,5:00,win,-,Nico Musoke,Alexander Yakovlev,Welterweight,70.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,U-DEC,-,2014-10-04,UFC Fight Night: Nelson vs Story,Nico Musoke,Alexander Yakovlev,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Grant Waterman,0.0,0.0,70 of 156,44 of 107,44%,41%,97 of 183,44 of 107,0 of 4,0 of 9,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,41 of 126,24 of 83,15 of 16,11 of 15,14 of 14,9 of 9,17 of 21,1 of 1,53 of 135,43 of 106,0 of 0,0 of 0
2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,1,0:39,nc,nc,Pedro Munhoz,Jerrod Sanders,Bantamweight,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Overturned,Guillotine Choke,2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,Pedro Munhoz,Jerrod Sanders,Overturned,1,0:39,3 Rnd (5-5-5),Brad Jardine,0.0,0.0,2 of 2,1 of 2,100%,50%,2 of 2,1 of 2,0 of 0,0 of 1,0%,0%,1.0,0.0,0.0,0.0,0.0,0.0,0 of 0,0 of 1,0 of 0,0 of 0,2 of 2,1 of 1,0 of 0,0 of 0,2 of 2,1 of 2,0 of 0,0 of 0
2014-10-04,UFC Fight Night: Nelson vs Story,5,5:00,win,-,Rick Story,Gunnar Nelson,Welterweight,168.0,53.0,1.0,1.0,0.0,0.0,0.0,0.0,S-DEC,-,2014-10-04,UFC Fight Night: Nelson vs Story,Gunnar Nelson,Rick Story,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,0.0,1.0,53 of 107,168 of 315,49%,53%,54 of 108,211 of 360,1 of 4,1 of 1,25%,100%,0.0,0.0,0.0,0.0,0.0,0.0,39 of 87,81 of 211,12 of 16,58 of 73,2 of 4,29 of 31,4 of 4,24 of 33,49 of 103,137 of 270,0 of 0,7 of 12
2014-10-04,UFC Fight Night: Nelson vs Story,1,3:11,win,-,Max Holloway,Akira Corassani,Featherweight,31.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punch,2014-10-04,UFC Fight Night: Nelson vs Story,Akira Corassani,Max Holloway,KO/TKO,1,3:11,3 Rnd (5-5-5),Kristian Hacklou,0.0,1.0,11 of 29,31 of 51,37%,60%,11 of 29,38 of 62,0 of 0,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,8 of 23,25 of 42,1 of 1,4 of 6,2 of 5,2 of 3,1 of 3,4 of 6,10 of 26,20 of 36,0 of 0,7 of 9
2014-10-04,UFC Fight Night: Nelson vs Story,1,1:58,win,-,Jan Blachowicz,Ilir Latifi,Light Heavyweight,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Kick,2014-10-04,UFC Fight Night: Nelson vs Story,Ilir Latifi,Jan Blachowicz,KO/TKO,1,1:58,3 Rnd (5-5-5),Grant Waterman,0.0,0.0,2 of 6,13 of 20,33%,65%,2 of 6,14 of 21,0 of 0,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,2 of 6,9 of 15,0 of 0,1 of 2,0 of 0,3 of 3,0 of 0,0 of 0,2 of 6,6 of 12,0 of 0,7 of 8
2014-10-04,UFC Fight Night: Nelson vs Story,1,1:19,win,-,Mike Wilkinson,Niklas Backstrom,Featherweight,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punch,2014-10-04,UFC Fight Night: Nelson vs Story,Niklas Backstrom,Mike Wilkinson,KO/TKO,1,1:19,3 Rnd (5-5-5),Bobby Rehman,0.0,1.0,7 of 12,6 of 15,58%,40%,7 of 12,7 of 16,0 of 0,0 of 1,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,4 of 9,4 of 12,0 of 0,0 of 1,3 of 3,2 of 2,2 of 2,0 of 0,5 of 10,3 of 10,0 of 0,3 of 5
2014-10-04,UFC Fight Night: Nelson vs Story,3,5:00,win,-,Dennis Siver,Charles Rosa,Featherweight,33.0,22.0,3.0,2.0,1.0,1.0,15.0,1.0,U-DEC,-,2014-10-04,UFC Fight Night: Nelson vs Story,Dennis Siver,Charles Rosa,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kristian Hacklou,0.0,0.0,33 of 86,22 of 91,38%,24%,109 of 171,29 of 99,3 of 3,2 of 4,100%,50%,1.0,1.0,15.0,1.0,2.0,3.0,22 of 71,15 of 73,4 of 7,2 of 8,7 of 8,5 of 10,0 of 0,0 of 0,31 of 84,22 of 89,2 of 2,0 of 2
2014-10-04,UFC Fight Night: Nelson vs Story,3,5:00,win,-,Cathal Pendred,Gasan Umalatov,Welterweight,55.0,38.0,1.0,0.0,0.0,0.0,1.0,0.0,S-DEC,-,2014-10-04,UFC Fight Night: Nelson vs Story,Cathal Pendred,Gasan Umalatov,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,0.0,0.0,55 of 103,38 of 97,53%,39%,58 of 106,54 of 116,1 of 14,0 of 1,7%,0%,0.0,0.0,1.0,0.0,0.0,0.0,14 of 58,28 of 81,12 of 14,4 of 9,29 of 31,6 of 7,7 of 7,3 of 4,48 of 96,35 of 91,0 of 0,0 of 2
2014-10-04,UFC Fight Night: Nelson vs Story,3,5:00,win,-,Krzysztof Jotko,Tor Troeng,Middleweight,74.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,U-DEC,-,2014-10-04,UFC Fight Night: Nelson vs Story,Tor Troeng,Krzysztof Jotko,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Grant Waterman,0.0,0.0,15 of 47,74 of 98,31%,75%,26 of 60,132 of 159,0 of 19,1 of 2,0%,50%,0.0,0.0,0.0,0.0,0.0,0.0,6 of 37,30 of 53,4 of 5,31 of 32,5 of 5,13 of 13,9 of 11,52 of 57,6 of 36,18 of 36,0 of 0,4 of 5
2014-10-04,UFC Fight Night: Nelson vs Story,1,1:01,win,-,Mairbek Taisumov,Marcin Bandel,Lightweight,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punch,2014-10-04,UFC Fight Night: Nelson vs Story,Mairbek Taisumov,Marcin Bandel,KO/TKO,1,1:01,3 Rnd (5-5-5),Kristian Hacklou,1.0,0.0,9 of 10,3 of 7,90%,42%,9 of 10,3 of 7,0 of 0,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,8 of 9,3 of 7,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0,0 of 0,6 of 7,3 of 7,3 of 3,0 of 0
2014-10-04,UFC Fight Night: Nelson vs Story,1,4:21,win,-,Zubaira Tukhugov,Ernest Chavez,Featherweight,40.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punches,2014-10-04,UFC Fight Night: Nelson vs Story,Zubaira Tukhugov,Ernest Chavez,KO/TKO,1,4:21,3 Rnd (5-5-5),Bobby Rehman,0.0,0.0,40 of 67,12 of 30,59%,40%,43 of 70,12 of 30,0 of 0,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,34 of 60,9 of 24,5 of 6,0 of 1,1 of 1,3 of 5,8 of 9,0 of 0,27 of 52,12 of 30,5 of 6,0 of 0
2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,1,1:03,win,-,Albert Tumenov,Matt Dwyer,Welterweight,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Kick,2014-10-04,UFC Fight Night: MacDonald vs Saffiedine,Albert Tumenov,Matt Dwyer,KO/TKO,1,1:03,3 Rnd (5-5-5),Dan Miragliotta,2.0,0.0,4 of 12,0 of 6,33%,0%,4 of 12,0 of 6,0 of 0,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,4 of 12,0 of 5,0 of 0,0 of 1,0 of 0,0 of 0,0 of 0,0 of 0,2 of 7,0 of 6,2 of 5,0 of 0
2014-10-25,UFC 179: Aldo vs Mendes 2,5,5:00,win,-,Jose Aldo,Chad Mendes,Featherweight,102.0,77.0,0.0,1.0,0.0,0.0,2.0,0.0,U-DEC,-,2014-10-25,UFC 179: Aldo vs Mendes 2,Jose Aldo,Chad Mendes,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,1.0,0.0,102 of 269,77 of 194,37%,39%,122 of 289,85 of 203,0 of 0,1 of 8,0%,12%,0.0,0.0,2.0,0.0,0.0,0.0,80 of 237,50 of 149,16 of 25,9 of 17,6 of 7,18 of 28,1 of 2,2 of 5,91 of 256,75 of 188,10 of 11,0 of 1
2014-10-25,UFC 179: Aldo vs Mendes 2,3,5:00,win,-,Phil Davis,Glover Teixeira,Light Heavyweight,49.0,9.0,9.0,0.0,0.0,0.0,4.0,0.0,U-DEC,-,2014-10-25,UFC 179: Aldo vs Mendes 2,Glover Teixeira,Phil Davis,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,0.0,0.0,9 of 46,49 of 145,19%,33%,14 of 51,109 of 214,0 of 0,9 of 18,0%,50%,0.0,0.0,0.0,4.0,1.0,0.0,5 of 41,38 of 130,4 of 5,11 of 15,0 of 0,0 of 0,2 of 3,2 of 3,7 of 43,16 of 106,0 of 0,31 of 36
2014-10-25,UFC 179: Aldo vs Mendes 2,2,4:06,win,-,Fabio Maldonado,Hans Stringer,Light Heavyweight,28.0,33.0,0.0,3.0,0.0,0.0,0.0,1.0,KO/TKO,Punches,2014-10-25,UFC 179: Aldo vs Mendes 2,Fabio Maldonado,Hans Stringer,KO/TKO,2,4:06,3 Rnd (5-5-5),Marc Goddard,0.0,0.0,28 of 46,33 of 46,60%,71%,74 of 107,78 of 95,0 of 0,3 of 3,0%,100%,0.0,0.0,0.0,1.0,0.0,0.0,20 of 37,18 of 31,8 of 9,7 of 7,0 of 0,8 of 8,1 of 1,3 of 3,5 of 17,12 of 16,22 of 28,18 of 27
2014-10-25,UFC 179: Aldo vs Mendes 2,3,5:00,win,-,Beneil Dariush,Diego Ferreira,Lightweight,32.0,21.0,3.0,0.0,0.0,0.0,2.0,0.0,U-DEC,-,2014-10-25,UFC 179: Aldo vs Mendes 2,Diego Ferreira,Beneil Dariush,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,0.0,0.0,21 of 85,32 of 68,24%,47%,24 of 90,54 of 97,0 of 1,3 of 6,0%,50%,0.0,0.0,0.0,2.0,0.0,0.0,11 of 71,19 of 48,8 of 12,6 of 10,2 of 2,7 of 10,7 of 14,10 of 17,14 of 71,12 of 32,0 of 0,10 of 19
2014-10-25,UFC 179: Aldo vs Mendes 2,3,5:00,win,-,Darren Elkins,Lucas Martins,Featherweight,47.0,26.0,1.0,0.0,0.0,1.0,0.0,0.0,S-DEC,-,2014-10-25,UFC 179: Aldo vs Mendes 2,Darren Elkins,Lucas Martins,Decision - Split,3,5:00,3 Rnd (5-5-5),Osiris Maia,0.0,0.0,47 of 154,26 of 82,30%,31%,133 of 251,41 of 97,1 of 14,0 of 0,7%,0%,0.0,1.0,0.0,0.0,0.0,0.0,25 of 113,16 of 70,17 of 36,6 of 7,5 of 5,4 of 5,25 of 52,7 of 11,21 of 100,19 of 71,1 of 2,0 of 0
2014-10-25,UFC 179: Aldo vs Mendes 2,2,3:06,win,-,Yan Cabral,Naoyuki Kotani,Lightweight,11.0,5.0,2.0,1.0,1.0,0.0,3.0,1.0,SUB,Rear Naked Choke,2014-10-25,UFC 179: Aldo vs Mendes 2,Yan Cabral,Naoyuki Kotani,Submission,2,3:06,3 Rnd (5-5-5),Mario Yamasaki,0.0,0.0,11 of 24,5 of 26,45%,19%,24 of 38,13 of 34,2 of 5,1 of 1,40%,100%,1.0,0.0,3.0,1.0,0.0,0.0,10 of 22,3 of 18,1 of 2,0 of 1,0 of 0,2 of 7,1 of 1,0 of 0,3 of 11,3 of 23,7 of 12,2 of 3
