Date,Event,Location,url
2008-12-13,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/ea398c802d9998ee
2008-12-27,UFC 92: The Ultimate 2008,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/23ab42947c1990e3
2009-01-17,UFC 93: Franklin vs Henderson,"Dublin, Leinster, Ireland",http://ufcstats.com/event-details/68c6cd5287b473a7
2009-01-31,UFC 94: St-Pierre vs Penn 2,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/2a542ee8a8b83559
2009-02-07,UFC Fight Night: Lauzon vs Stephens,"Tampa, Florida, USA",http://ufcstats.com/event-details/d1759b2b7be9be56
2009-02-21,UFC 95: Sanchez vs Stevenson,"London, England, United Kingdom",http://ufcstats.com/event-details/7d21de9c6d7c98b2
2009-03-07,UFC 96: Jackson vs Jardine,"Columbus, Ohio, USA",http://ufcstats.com/event-details/29b5791e51e7e832
2009-04-01,UFC Fight Night: Condit vs Kampmann,"Nashville, Tennessee, USA",http://ufcstats.com/event-details/04d5718ed2661e8c
2009-04-18,UFC 97: Redemption,"Montreal, Quebec, Canada",http://ufcstats.com/event-details/1652f3213655b935
2009-05-23,UFC 98: Evans vs Machida,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/c4b6099f0d25f75e
2009-06-13,UFC 99: The Comeback,"Cologne, North Rhine-Westphalia, Germany",http://ufcstats.com/event-details/cb6783c39c01d896
2009-06-20,The Ultimate Fighter: United States vs. United Kingdom Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/4908c5ee68a50ee5
2009-07-11,UFC 100,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/0ee783aa00e468f0
2009-08-08,UFC 101: Declaration,"Philadelphia, Pennsylvania, USA",http://ufcstats.com/event-details/48d1f690b763934c
2009-08-29,UFC 102: Couture vs Nogueira,"Portland, Oregon, USA",http://ufcstats.com/event-details/c6a33ff198aaaeeb
2009-09-16,UFC Fight Night: Diaz vs Guillard,"Oklahoma City, Oklahoma, USA",http://ufcstats.com/event-details/a8ea84cbe1655f0a
2009-09-19,UFC 103: Franklin vs Belfort,"Dallas, Texas, USA",http://ufcstats.com/event-details/896c322f56b8be5a
2009-10-24,UFC 104: Machida vs Shogun,"Los Angeles, California, USA",http://ufcstats.com/event-details/7c0847d3854a95f2
2009-11-14,UFC 105: Couture vs Vera,"Manchester, England, United Kingdom",http://ufcstats.com/event-details/fa8b9e6b0c2269f8
2009-11-21,UFC 106: Ortiz vs Griffin 2,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/84a067c46306a737
2009-12-05,The Ultimate Fighter: Heavyweights Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/91d73ee59347ac16
2009-12-12,UFC 107: Penn vs Sanchez,"Memphis, Tennessee, USA",http://ufcstats.com/event-details/821cd80aab70d5f9
2010-01-02,UFC 108: Evans vs Silva,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/a6d8bfe9e0c8153b
2010-01-11,UFC Fight Night: Maynard vs Diaz,"Fairfax, Virginia, USA",http://ufcstats.com/event-details/58bc81376286b3d3
2010-02-06,UFC 109: Relentless,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/15edcf67ccf5be84
2010-02-20,UFC 110: Nogueira vs Velasquez,"Sydney, New South Wales, Australia",http://ufcstats.com/event-details/49efbdc6c9f650c4
2010-03-21,UFC Live: Vera vs Jones,"Broomfield, Colorado, USA",http://ufcstats.com/event-details/3795fca327cbcf23
2010-03-27,UFC 111: St-Pierre vs Hardy,"Newark, New Jersey, USA",http://ufcstats.com/event-details/c80095f6092271a7
2010-03-31,UFC Fight Night: Florian vs Gomi,"Charlotte, North Carolina, USA",http://ufcstats.com/event-details/3ed134d85dfbd7b4
2010-04-10,UFC 112: Invincible,"Abu Dhabi, United Arab Emirates",http://ufcstats.com/event-details/24b033b3daf1c9df
2010-05-08,UFC 113: Machida vs Shogun 2,"Montreal, Quebec, Canada",http://ufcstats.com/event-details/d0c29452d3272603
2010-05-29,UFC 114: Rampage vs Evans,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/bfc2fc38a0e20211
2010-06-12,UFC 115: Liddell vs Franklin,"Vancouver, British Columbia, Canada",http://ufcstats.com/event-details/cfb65863d5099327
2010-06-19,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/9bcf8603ceb25680
2010-07-03,UFC 116: Lesnar vs Carwin,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/140745cbbcb023ac
2010-08-01,UFC Live: Jones vs Matyushenko,"San Diego, California, USA",http://ufcstats.com/event-details/f12f979b657ab876
2010-08-07,UFC 117: Silva vs Sonnen,"Oakland, California, USA",http://ufcstats.com/event-details/2f3f12002564bb55
2010-08-28,UFC 118: Edgar vs Penn 2,"Boston, Massachusetts, USA",http://ufcstats.com/event-details/054defd5420a551f
2010-09-15,UFC Fight Night: Marquardt vs Palhares,"Austin, Texas, USA",http://ufcstats.com/event-details/acff437707625fc7
2010-09-25,UFC 119: Mir vs Cro Cop,"Indianapolis, Indiana, USA",http://ufcstats.com/event-details/ad32471f01e7b1a5
2010-10-16,UFC 120: Bisping vs Akiyama,"London, England, United Kingdom",http://ufcstats.com/event-details/d512d9f204059f57
