Date,Event,ROUND,TIME,Results_1,Results_2,Fighter_1,Fighter_2,WEIGHT CLASS,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,PASS_1,PASS_2,METHOD_result,METHOD_note
2020-02-15,UFC Fight Night: Anderson vs. Blachowicz,3,3:09,win,,Diego Sanchez,Michel Pereira,Welterweight,25,53,0,2,0,0,0,0,DQ,
2020-02-15,UFC Fight Night: Anderson vs. Blachowicz,3,5:00,win,,Montana De La Rosa,Mara Romero Borella,Women's Flyweight,27,23,1,1,1,0,6,0,U-DEC,
2020-02-15,UFC Fight Night: Anderson vs. Blachowicz,1,4:02,win,,Brok Weaver,Kazula Vargas,Lightweight,5,15,0,1,1,0,0,0,DQ,
2020-02-15,UFC Fight Night: Anderson vs. Blachowicz,3,5:00,win,,Ray Borg,Rogerio Bontorin,Flyweight,35,9,10,0,0,0,6,0,U-DEC,
2020-02-15,UFC Fight Night: Anderson vs. Blachowicz,3,5:00,win,,Lando Vannata,Yancy Medeiros,Lightweight,99,68,0,0,0,0,0,0,U-DEC,
2020-02-15,UFC Fight Night: Anderson vs. Blachowicz,2,3:37,win,,Daniel Rodriguez,Tim Means,Welterweight,49,41,0,1,1,0,0,0,SUB,Guillotine Choke
2020-02-15,UFC Fight Night: Anderson vs. Blachowicz,3,0:16,win,,John Dodson,Nathaniel Wood,Bantamweight,39,46,0,1,0,0,0,0,KO/TKO,Punch
2020-02-15,UFC Fight Night: Anderson vs. Blachowicz,3,5:00,win,,Scott Holtzman,Jim Miller,Lightweight,88,58,1,0,0,0,1,0,U-DEC,
2020-02-15,UFC Fight Night: Anderson vs. Blachowicz,3,5:00,win,,Devin Clark,Dequan Townsend,Light Heavyweight,39,6,3,0,0,0,3,0,U-DEC,
2020-02-15,UFC Fight Night: Anderson vs. Blachowicz,3,5:00,win,,Merab Dvalishvili,Casey Kenney,Bantamweight,63,45,12,0,0,0,3,0,U-DEC,
2020-02-15,UFC Fight Night: Anderson vs. Blachowicz,3,5:00,win,,Macy Chiasson,Shanna Young,Women's Bantamweight,86,40,3,0,0,0,4,1,U-DEC,
2020-02-15,UFC Fight Night: Anderson vs. Blachowicz,2,4:42,win,,Raulian Paiva,Mark De La Rosa,Flyweight,54,45,0,0,0,0,0,0,KO/TKO,Punch
2020-02-08,UFC 247: Jones vs. Reyes,5,5:00,win,,Jon Jones,Dominick Reyes,Light Heavyweight,104,116,2,0,0,0,0,0,U-DEC,
2020-02-08,UFC 247: Jones vs. Reyes,3,1:03,win,,Valentina Shevchenko,Katlyn Chookagian,Women's Flyweight,40,17,3,0,0,0,2,0,KO/TKO,Punches
2020-02-08,UFC 247: Jones vs. Reyes,1,1:59,win,,Justin Tafa,Juan Adams,Heavyweight,10,7,0,0,0,0,0,0,KO/TKO,Punch
2020-02-08,UFC 247: Jones vs. Reyes,3,5:00,win,,Dan Ige,Mirsad Bektic,Featherweight,43,17,1,3,0,1,1,6,S-DEC,
2020-02-08,UFC 247: Jones vs. Reyes,3,5:00,win,,Derrick Lewis,Ilir Latifi,Heavyweight,20,5,0,3,0,0,0,2,U-DEC,
