BODY_1,BODY_2,CLINCH_1,CLINCH_2,DISTANCE_1,DISTANCE_2,Date,Event,Fighter_1,Fighter_2,GROUND_1,GROUND_2,HEAD_1,HEAD_2,KD_1,KD_2,LEG_1,LEG_2,METHOD,PASS_1,PASS_2,REFEREE,REV_1,REV_2,ROUND,SIG_STR_1,SIG_STR_2,SUB_ATT_1,SUB_ATT_2,TD_1,TD_2,TIME,TIME_FORMAT,TOTAL_STR_1,TOTAL_STR_2,pSIG_STR_1,pSIG_STR_2,pTD_1,pTD_2
5 of 7,1 of 3,5 of 9,1 of 3,5 of 27,7 of 32,2014-07-19,UFC Fight Night: McGregor vs Brandao,Norman Parke,Naoyuki Kotani,24 of 47,0 of 0,25 of 68,5 of 26,,,4 of 8,2 of 6,KO/TKO,,,Marc Goddard,,,2,34 of 83,8 of 35,,,2 of 2,0 of 7,3:41,3 Rnd (5-5-5),41 of 91,16 of 43,40%,22%,100%,0%
1 of 1,0 of 0,0 of 0,1 of 1,15 of 30,0 of 4,2014-07-19,UFC Fight Night: McGregor vs Brandao,Ilir Latifi,Chris Dempsey,1 of 1,0 of 0,9 of 24,1 of 5,,,6 of 6,0 of 0,KO/TKO,,,Leon Roberts,,,1,16 of 31,1 of 5,,,1 of 1,0 of 0,2:07,3 Rnd (5-5-5),17 of 32,1 of 5,51%,20%,100%,0%
5 of 9,2 of 3,3 of 9,2 of 5,42 of 114,37 of 120,2014-07-19,UFC Fight Night: McGregor vs Brandao,Neil Seery,Phil Harris,15 of 25,1 of 1,42 of 119,35 of 120,,,13 of 20,3 of 3,Decision - Unanimous,,,Neil Hall,,,3,60 of 148,40 of 126,,,2 of 2,2 of 17,5:00,3 Rnd (5-5-5),63 of 151,52 of 139,40%,31%,100%,11%
3 of 5,3 of 4,1 of 2,5 of 5,9 of 37,17 of 36,2014-07-19,UFC Fight Night: McGregor vs Brandao,Cathal Pendred,Mike King,1 of 1,16 of 24,7 of 33,33 of 59,,,1 of 2,2 of 2,Submission,,,Marc Goddard,,,2,11 of 40,38 of 65,,,3 of 5,1 of 4,3:33,3 Rnd (5-5-5),16 of 46,60 of 103,27%,58%,60%,25%
11 of 12,13 of 17,12 of 13,11 of 14,14 of 32,15 of 28,2014-07-19,UFC Fight Night: McGregor vs Brandao,Tor Troeng,Trevor Smith,0 of 0,16 of 17,13 of 31,17 of 30,,,2 of 2,12 of 12,Decision - Unanimous,,,Leon Roberts,,,3,26 of 45,42 of 59,,,1 of 5,2 of 5,5:00,3 Rnd (5-5-5),42 of 63,89 of 110,57%,71%,20%,40%
4 of 5,9 of 14,14 of 23,21 of 31,6 of 13,11 of 24,2014-07-19,UFC Fight Night: McGregor vs Brandao,Cody Donovan,Nikita Krylov,1 of 3,10 of 15,17 of 34,29 of 52,,,0 of 0,4 of 4,KO/TKO,,,Marc Goddard,,,1,21 of 39,42 of 70,,,1 of 2,0 of 0,4:57,3 Rnd (5-5-5),31 of 50,80 of 114,53%,60%,50%,0%
0 of 2,1 of 2,0 of 1,0 of 0,7 of 21,3 of 11,2014-07-19,UFC Fight Night: McGregor vs Brandao,Paddy Holohan,Joshua Sampo,3 of 7,0 of 0,7 of 22,2 of 8,,,3 of 5,0 of 1,Submission,,,Neil Hall,,,1,10 of 29,3 of 11,,,0 of 1,0 of 0,3:06,3 Rnd (5-5-5),20 of 39,3 of 11,34%,27%,0%,0%
13 of 15,26 of 38,7 of 10,13 of 14,68 of 182,69 of 228,2014-07-26,UFC on FOX: Lawler vs Brown,Robbie Lawler,Matt Brown,5 of 8,0 of 0,64 of 182,45 of 182,,,3 of 3,11 of 22,Decision - Unanimous,,,John McCarthy,,,5,80 of 200,82 of 242,,,2 of 2,2 of 8,5:00,5 Rnd (5-5-5-5-5),87 of 207,89 of 250,40%,33%,100%,25%
1 of 1,5 of 6,2 of 3,10 of 13,26 of 76,37 of 101,2014-07-26,UFC on FOX: Lawler vs Brown,Clay Guida,Dennis Bermudez,0 of 0,0 of 0,24 of 73,36 of 99,,,3 of 5,6 of 9,Submission,,,John McCarthy,,,2,28 of 79,47 of 114,,,0 of 3,2 of 7,2:57,3 Rnd (5-5-5),39 of 95,66 of 135,35%,41%,0%,28%
5 of 10,23 of 37,2 of 5,3 of 6,40 of 111,56 of 135,2014-07-26,UFC on FOX: Lawler vs Brown,Josh Thomson,Bobby Green,3 of 4,0 of 0,25 of 91,18 of 79,,,15 of 19,18 of 25,Decision - Split,,,Herb Dean,,,3,45 of 120,59 of 141,,,0 of 5,0 of 2,5:00,3 Rnd (5-5-5),45 of 120,63 of 145,37%,41%,0%,0%
7 of 16,11 of 13,0 of 1,8 of 9,17 of 76,23 of 50,2014-07-26,UFC on FOX: Lawler vs Brown,Daron Cruickshank,Jorge Masvidal,2 of 6,20 of 33,6 of 61,35 of 69,,,6 of 6,5 of 10,Decision - Unanimous,,,Herb Dean,,,3,19 of 83,51 of 92,,,2 of 3,2 of 4,5:00,3 Rnd (5-5-5),23 of 87,99 of 150,22%,55%,66%,50%
0 of 0,0 of 0,0 of 0,0 of 0,8 of 17,0 of 2,2014-07-26,UFC on FOX: Lawler vs Brown,Anthony Johnson,Rogerio Nogueira,0 of 0,0 of 0,8 of 17,0 of 2,,,0 of 0,0 of 0,KO/TKO,,,Herb Dean,,,1,8 of 17,0 of 2,,,0 of 0,0 of 0,0:44,3 Rnd (5-5-5),8 of 17,0 of 2,47%,0%,0%,0%
8 of 19,25 of 48,5 of 11,5 of 11,56 of 178,80 of 199,2014-07-26,UFC on FOX: Lawler vs Brown,Hernani Perpetuo,Tim Means,0 of 0,0 of 0,35 of 147,44 of 144,,,18 of 23,16 of 18,Decision - Unanimous,,,Herb Dean,,,3,61 of 189,85 of 210,,,0 of 3,1 of 4,5:00,3 Rnd (5-5-5),63 of 191,85 of 211,32%,40%,0%,25%
2 of 2,2 of 2,1 of 2,1 of 1,5 of 9,2 of 5,2014-07-26,UFC on FOX: Lawler vs Brown,Mike de la Torre,Brian Ortega,0 of 0,0 of 0,4 of 9,1 of 4,,,0 of 0,0 of 0,Overturned,,,John McCarthy,,,1,6 of 11,3 of 6,,,0 of 1,1 of 3,1:39,3 Rnd (5-5-5),8 of 14,5 of 8,54%,50%,0%,33%
16 of 18,8 of 19,1 of 2,24 of 35,26 of 68,38 of 127,2014-07-26,UFC on FOX: Lawler vs Brown,Akbarh Arreola,Tiago Trator,3 of 3,0 of 1,9 of 46,20 of 102,,,5 of 9,34 of 42,Decision - Unanimous,,,Mike Beltran,,,3,30 of 73,62 of 163,,,2 of 2,0 of 0,5:00,3 Rnd (5-5-5),30 of 73,88 of 195,41%,38%,100%,0%
2 of 4,1 of 6,1 of 3,0 of 0,32 of 82,22 of 87,2014-07-26,UFC on FOX: Lawler vs Brown,Steven Siler,Noad Lahat,2 of 7,4 of 4,26 of 80,15 of 73,,,7 of 8,10 of 12,Decision - Unanimous,,,Jason Herzog,,,3,35 of 92,26 of 91,,,0 of 0,4 of 17,5:00,3 Rnd (5-5-5),56 of 119,76 of 143,38%,28%,0%,23%
9 of 12,15 of 23,13 of 21,15 of 22,26 of 88,29 of 118,2014-07-26,UFC on FOX: Lawler vs Brown,Andreas Stahl,Gilbert Burns,2 of 2,0 of 0,28 of 94,27 of 114,,,4 of 5,2 of 3,Decision - Unanimous,,,Jason Herzog,,,3,41 of 111,44 of 140,,,0 of 1,2 of 10,5:00,3 Rnd (5-5-5),69 of 143,56 of 153,36%,31%,0%,20%
3 of 5,21 of 36,3 of 5,12 of 16,13 of 69,34 of 152,2014-07-26,UFC on FOX: Lawler vs Brown,Juliana Lima,Joanna Jedrzejczyk,2 of 3,0 of 0,8 of 56,24 of 128,,,7 of 16,1 of 4,Decision - Unanimous,,,Mike Beltran,,,3,18 of 77,46 of 168,,,1 of 14,0 of 0,5:00,3 Rnd (5-5-5),38 of 103,55 of 180,23%,27%,7%,0%
4 of 4,5 of 7,6 of 6,10 of 13,16 of 79,19 of 53,2014-07-26,UFC on FOX: Lawler vs Brown,Kyle Kingsbury,Patrick Cummins,0 of 0,44 of 63,7 of 65,66 of 120,,,11 of 16,2 of 2,Decision - Unanimous,,,John McCarthy,,,3,22 of 85,73 of 129,,,0 of 1,10 of 17,5:00,3 Rnd (5-5-5),22 of 85,115 of 176,25%,56%,0%,58%
3 of 8,6 of 13,2 of 4,4 of 6,13 of 53,20 of 84,2014-08-16,UFC Fight Night: Bader vs Saint Preux,Ryan Bader,Ovince Saint Preux,9 of 15,0 of 1,18 of 57,17 of 75,,,3 of 7,1 of 3,Decision - Unanimous,,,Dan Miragliotta,,,5,24 of 72,24 of 91,,,9 of 21,2 of 2,5:00,5 Rnd (5-5-5-5-5),77 of 137,30 of 97,33%,26%,42%,100%
6 of 7,4 of 8,3 of 3,6 of 7,12 of 44,16 of 44,2014-08-16,UFC Fight Night: Bader vs Saint Preux,Gray Maynard,Ross Pearson,0 of 0,4 of 4,9 of 40,20 of 45,,,0 of 0,2 of 2,KO/TKO,,,Keith Peterson,,,2,15 of 47,26 of 55,,,2 of 4,0 of 0,1:35,3 Rnd (5-5-5),25 of 58,35 of 64,31%,47%,50%,0%
2 of 5,5 of 6,8 of 16,9 of 13,15 of 45,14 of 28,2014-08-16,UFC Fight Night: Bader vs Saint Preux,Seth Baczynski,Alan Jouban,2 of 4,2 of 2,23 of 60,15 of 32,,,0 of 0,5 of 5,KO/TKO,,,Keith Peterson,,,1,25 of 65,25 of 43,,,1 of 2,0 of 0,4:23,3 Rnd (5-5-5),27 of 68,26 of 44,38%,58%,50%,0%
4 of 5,7 of 7,5 of 10,17 of 30,5 of 13,7 of 26,2014-08-16,UFC Fight Night: Bader vs Saint Preux,Tim Boetsch,Brad Tavares,4 of 5,0 of 0,10 of 23,17 of 49,,,0 of 0,0 of 0,KO/TKO,,,Kevin MacDonald,,,2,14 of 28,24 of 56,,,1 of 5,0 of 1,3:18,3 Rnd (5-5-5),40 of 56,37 of 70,50%,42%,20%,0%
0 of 0,0 of 0,0 of 0,0 of 0,0 of 2,0 of 2,2014-08-16,UFC Fight Night: Bader vs Saint Preux,Thiago Tavares,Robert Peralta,18 of 29,0 of 0,18 of 31,0 of 2,,,0 of 0,0 of 0,Submission,,,Kevin MacDonald,,,1,18 of 31,0 of 2,,,2 of 3,0 of 0,4:27,3 Rnd (5-5-5),45 of 63,3 of 5,58%,0%,66%,0%
1 of 2,0 of 3,2 of 2,0 of 0,5 of 18,11 of 45,2014-08-16,UFC Fight Night: Bader vs Saint Preux,Jussier Formiga,Zach Makovsky,4 of 8,14 of 24,10 of 26,23 of 64,,,0 of 0,2 of 2,Decision - Unanimous,,,Keith Peterson,,,3,11 of 28,25 of 69,,,2 of 4,1 of 4,5:00,3 Rnd (5-5-5),51 of 78,59 of 107,39%,36%,50%,25%
6 of 12,1 of 1,4 of 4,3 of 3,21 of 57,15 of 46,2014-08-16,UFC Fight Night: Bader vs Saint Preux,Sara McMann,Lauren Murphy,13 of 19,30 of 34,23 of 59,41 of 76,,,9 of 9,6 of 6,Decision - Split,,,Kevin MacDonald,,,3,38 of 80,48 of 83,,,5 of 9,0 of 0,5:00,3 Rnd (5-5-5),64 of 112,193 of 236,47%,57%,55%,0%
8 of 13,10 of 17,6 of 12,40 of 62,79 of 155,40 of 103,2014-08-16,UFC Fight Night: Bader vs Saint Preux,Tom Watson,Sam Alvey,0 of 0,2 of 3,34 of 105,71 of 150,,,43 of 49,1 of 1,Decision - Unanimous,,,Dan Miragliotta,,,3,85 of 167,82 of 168,,,0 of 4,0 of 0,5:00,3 Rnd (5-5-5),86 of 168,91 of 177,50%,48%,0%,0%
9 of 11,9 of 16,1 of 2,39 of 49,22 of 47,24 of 71,2014-08-16,UFC Fight Night: Bader vs Saint Preux,Nolan Ticman,Frankie Saenz,2 of 4,4 of 9,13 of 39,31 of 83,,,3 of 3,27 of 30,Decision - Unanimous,,,Keith Peterson,,,3,25 of 53,67 of 129,,,0 of 0,5 of 9,5:00,3 Rnd (5-5-5),31 of 59,83 of 153,47%,51%,0%,55%
4 of 6,5 of 8,0 of 2,9 of 14,10 of 22,11 of 45,2014-08-16,UFC Fight Night: Bader vs Saint Preux,Shawn Jordan,Jack May,22 of 30,0 of 0,28 of 48,13 of 47,,,0 of 0,2 of 4,KO/TKO,,,Dan Miragliotta,,,3,32 of 54,20 of 59,,,3 of 4,0 of 0,2:03,3 Rnd (5-5-5),77 of 112,22 of 61,59%,33%,75%,0%
4 of 6,4 of 5,0 of 0,2 of 2,10 of 27,15 of 25,2014-08-23,UFC Fight Night: Henderson vs Dos Anjos,Benson Henderson,Rafael Dos Anjos,0 of 0,1 of 3,3 of 18,11 of 22,,,3 of 3,3 of 3,KO/TKO,,,John McCarthy,,,1,10 of 27,18 of 30,,,0 of 1,0 of 0,2:31,5 Rnd (5-5-5-5-5),10 of 27,18 of 30,37%,60%,0%,0%
0 of 2,0 of 0,0 of 0,0 of 0,2 of 8,5 of 8,2014-08-23,UFC Fight Night: Henderson vs Dos Anjos,Mike Pyle,Jordan Mein,0 of 0,5 of 7,0 of 4,9 of 14,,,2 of 2,1 of 1,KO/TKO,,,Dan Miragliotta,,,1,2 of 8,10 of 15,,,0 of 2,0 of 0,1:12,3 Rnd (5-5-5),2 of 8,10 of 15,25%,66%,0%,0%
2 of 4,3 of 6,2 of 2,5 of 9,16 of 49,12 of 31,2014-08-23,UFC Fight Night: Henderson vs Dos Anjos,Francis Carmont,Thales Leites,0 of 0,1 of 3,9 of 39,11 of 33,,,7 of 8,4 of 4,KO/TKO,,,John McCarthy,,,2,18 of 51,18 of 43,,,0 of 1,0 of 1,0:20,3 Rnd (5-5-5),18 of 51,19 of 44,35%,41%,0%,0%
26 of 29,16 of 31,14 of 17,14 of 21,70 of 143,52 of 181,2014-08-23,UFC Fight Night: Henderson vs Dos Anjos,Max Holloway,Clay Collard,40 of 44,4 of 7,95 of 170,38 of 155,,,3 of 5,16 of 23,KO/TKO,,,Dan Miragliotta,,,3,124 of 204,70 of 209,,,0 of 0,1 of 10,3:47,3 Rnd (5-5-5),137 of 219,73 of 213,60%,33%,0%,10%
15 of 19,15 of 26,9 of 11,12 of 22,68 of 210,79 of 209,2014-08-23,UFC Fight Night: Henderson vs Dos Anjos,James Vick,Valmir Lazaro,0 of 0,0 of 0,51 of 189,64 of 190,,,11 of 13,12 of 15,Decision - Unanimous,,,Kevin Nix,,,3,77 of 221,91 of 231,,,0 of 1,4 of 10,5:00,3 Rnd (5-5-5),83 of 227,96 of 236,34%,39%,0%,40%
0 of 0,0 of 0,1 of 2,0 of 1,1 of 9,1 of 3,2014-08-23,UFC Fight Night: Henderson vs Dos Anjos,Chas Skelly,Tom Niinimaki,0 of 0,0 of 0,2 of 11,1 of 4,,,0 of 0,0 of 0,Submission,,,Dan Miragliotta,,,1,2 of 11,1 of 4,,,1 of 1,0 of 0,2:35,3 Rnd (5-5-5),3 of 12,3 of 6,18%,25%,100%,0%
6 of 7,1 of 4,17 of 18,0 of 1,16 of 51,4 of 34,2014-08-23,UFC Fight Night: Henderson vs Dos Anjos,Neil Magny,Alex Garcia,6 of 10,1 of 4,18 of 56,4 of 35,,,15 of 16,0 of 0,Decision - Unanimous,,,John McCarthy,,,3,39 of 79,5 of 39,,,3 of 6,3 of 7,5:00,3 Rnd (5-5-5),130 of 175,27 of 68,49%,12%,50%,42%
17 of 24,2 of 4,11 of 14,7 of 11,15 of 47,27 of 61,2014-08-23,UFC Fight Night: Henderson vs Dos Anjos,Beneil Dariush,Anthony Rocco Martin,0 of 0,0 of 0,6 of 32,24 of 59,,,3 of 5,8 of 9,Submission,,,Dan Miragliotta,,,2,26 of 61,34 of 72,,,2 of 3,1 of 4,3:38,3 Rnd (5-5-5),30 of 65,38 of 76,42%,47%,66%,25%
12 of 12,8 of 11,17 of 18,21 of 28,14 of 25,6 of 15,2014-08-23,UFC Fight Night: Henderson vs Dos Anjos,Aaron Phillips,Matt Hobar,7 of 11,36 of 57,23 of 39,51 of 85,,,3 of 3,4 of 4,Decision - Unanimous,,,Kevin Nix,,,3,38 of 54,63 of 100,,,0 of 1,6 of 9,5:00,3 Rnd (5-5-5),230 of 279,120 of 172,70%,63%,0%,66%
16 of 24,19 of 33,2 of 2,0 of 0,88 of 265,38 of 110,2014-08-23,UFC Fight Night: Bisping vs Le,Michael Bisping,Cung Le,2 of 3,0 of 0,68 of 236,9 of 67,,,8 of 10,10 of 10,KO/TKO,,,John Sharp,,,4,92 of 270,38 of 110,,,0 of 0,0 of 0,0:57,5 Rnd (5-5-5-5-5),92 of 270,38 of 110,34%,34%,0%,0%
2 of 5,4 of 11,2 of 4,0 of 3,18 of 61,15 of 74,2014-08-23,UFC Fight Night: Henderson vs Dos Anjos,Wilson Reis,Joby Sanchez,2 of 2,5 of 9,13 of 55,16 of 75,,,7 of 7,0 of 0,Decision - Unanimous,,,Kevin Nix,,,3,22 of 67,20 of 86,,,9 of 14,0 of 0,5:00,3 Rnd (5-5-5),70 of 138,36 of 102,32%,23%,64%,0%
1 of 1,2 of 2,6 of 6,2 of 2,1 of 2,0 of 2,2014-08-23,UFC Fight Night: Bisping vs Le,Tyron Woodley,Dong Hyun Kim,6 of 7,0 of 0,8 of 10,0 of 2,,,4 of 4,0 of 0,KO/TKO,,,Leon Roberts,,,1,13 of 15,2 of 4,,,0 of 0,0 of 0,1:01,3 Rnd (5-5-5),13 of 15,19 of 21,86%,50%,0%,0%
6 of 9,4 of 8,6 of 7,3 of 4,9 of 27,12 of 41,2014-08-23,UFC Fight Night: Bisping vs Le,Lipeng Zhang,Brendan O'Reilly,4 of 6,0 of 5,7 of 25,7 of 35,,,6 of 6,4 of 7,Decision - Unanimous,,,John Sharp,,,3,19 of 40,15 of 50,,,2 of 4,0 of 3,5:00,3 Rnd (5-5-5),130 of 179,74 of 121,47%,30%,50%,0%
8 of 14,0 of 4,3 of 4,0 of 1,28 of 86,21 of 77,2014-08-23,UFC Fight Night: Bisping vs Le,Ning Guangyou,Jianping Yang,0 of 1,0 of 0,13 of 64,4 of 47,,,10 of 13,17 of 27,Decision - Unanimous,,,Steve Perceval,,,3,31 of 91,21 of 78,,,2 of 3,1 of 4,5:00,3 Rnd + OT (5-5-5-5),41 of 103,24 of 82,34%,26%,66%,25%
17 of 20,14 of 16,18 of 22,10 of 12,35 of 89,48 of 108,2014-08-23,UFC Fight Night: Bisping vs Le,Sai Wang,Danny Mitchell,11 of 13,0 of 0,38 of 93,27 of 79,,,9 of 11,17 of 25,Decision - Unanimous,,,Leon Roberts,,,3,64 of 124,58 of 120,,,0 of 2,0 of 8,5:00,3 Rnd (5-5-5),111 of 178,83 of 147,51%,48%,0%,0%
4 of 5,2 of 2,3 of 5,5 of 6,22 of 44,26 of 40,2014-08-23,UFC Fight Night: Bisping vs Le,Alberto Mina,Shinsho Anzai,9 of 9,0 of 0,30 of 53,29 of 44,,,0 of 0,0 of 0,KO/TKO,,,Thomas Fan,,,1,34 of 58,31 of 46,,,0 of 2,1 of 1,4:17,3 Rnd (5-5-5),38 of 62,41 of 60,58%,67%,0%,100%
0 of 1,0 of 0,0 of 0,0 of 0,1 of 4,5 of 8,2014-08-23,UFC Fight Night: Bisping vs Le,Roland Delorme,Ulka Sasaki,0 of 0,0 of 0,1 of 3,5 of 8,,,0 of 0,0 of 0,Submission,,,John Sharp,,,1,1 of 4,5 of 8,,,0 of 0,0 of 1,1:06,3 Rnd (5-5-5),1 of 4,5 of 8,25%,62%,0%,0%
0 of 0,2 of 2,0 of 0,0 of 0,0 of 5,2 of 2,2014-08-23,UFC Fight Night: Bisping vs Le,An Ying Wang,Colby Covington,0 of 0,9 of 15,0 of 5,9 of 15,,,0 of 0,0 of 0,KO/TKO,,,Leon Roberts,,,1,0 of 5,11 of 17,,,0 of 0,2 of 2,4:50,3 Rnd (5-5-5),2 of 7,66 of 88,0%,64%,0%,100%
1 of 1,3 of 3,3 of 7,3 of 4,19 of 45,12 of 21,2014-08-23,UFC Fight Night: Bisping vs Le,Yao Zhikui,Royston Wee,5 of 15,3 of 4,26 of 66,6 of 15,,,0 of 0,9 of 11,Decision - Split,,,Steve Perceval,,,3,27 of 67,18 of 29,,,0 of 0,3 of 4,5:00,3 Rnd (5-5-5),107 of 152,88 of 106,40%,62%,0%,75%
3 of 5,5 of 8,1 of 1,5 of 6,11 of 32,6 of 30,2014-08-23,UFC Fight Night: Bisping vs Le,Elizabeth Phillips,Milana Dudieva,13 of 21,0 of 0,18 of 45,6 of 28,,,4 of 4,0 of 0,Decision - Split,,,Thomas Fan,,,3,25 of 54,11 of 36,,,0 of 0,2 of 5,5:00,3 Rnd (5-5-5),51 of 83,48 of 80,46%,30%,0%,40%
1 of 1,3 of 3,0 of 0,0 of 0,3 of 4,3 of 4,2014-08-23,UFC Fight Night: Henderson vs Dos Anjos,Ben Saunders,Chris Heatherly,1 of 2,1 of 1,1 of 3,1 of 2,,,2 of 2,0 of 0,Submission,,,John McCarthy,,,1,4 of 6,4 of 5,,,0 of 0,1 of 1,2:18,3 Rnd (5-5-5),6 of 11,7 of 9,66%,80%,0%,100%
22 of 33,6 of 8,6 of 10,0 of 3,144 of 440,62 of 194,2014-08-30,UFC 177: Dillashaw vs Soto,TJ Dillashaw,Joe Soto,1 of 4,0 of 0,113 of 400,53 of 184,,,16 of 21,3 of 5,KO/TKO,,,John McCarthy,,,5,151 of 454,62 of 197,,,2 of 3,0 of 5,2:20,5 Rnd (5-5-5-5-5),156 of 461,63 of 198,33%,31%,66%,0%
3 of 3,0 of 3,0 of 3,0 of 0,22 of 76,21 of 95,2014-08-30,UFC 177: Dillashaw vs Soto,Tony Ferguson,Danny Castillo,1 of 1,2 of 10,10 of 62,23 of 102,,,10 of 15,0 of 0,Decision - Split,,,Herb Dean,,,3,23 of 80,23 of 105,,,0 of 0,2 of 8,5:00,3 Rnd (5-5-5),71 of 130,30 of 114,28%,21%,0%,25%
17 of 23,0 of 0,25 of 36,4 of 10,42 of 66,4 of 20,2014-08-30,UFC 177: Dillashaw vs Soto,Bethe Correia,Shayna Baszler,1 of 1,0 of 0,50 of 79,8 of 30,,,1 of 1,0 of 0,KO/TKO,,,John McCarthy,,,2,68 of 103,8 of 30,,,0 of 0,1 of 4,1:56,3 Rnd (5-5-5),97 of 132,19 of 41,66%,26%,0%,25%
1 of 2,53 of 53,2 of 2,5 of 5,8 of 27,4 of 6,2014-08-30,UFC 177: Dillashaw vs Soto,Ruan Potts,Anthony Hamilton,0 of 0,51 of 53,7 of 23,2 of 5,,,2 of 4,5 of 6,KO/TKO,,,Steven Davis,,,2,10 of 29,60 of 64,,,0 of 3,5 of 6,4:17,3 Rnd (5-5-5),24 of 45,82 of 87,34%,93%,0%,83%
11 of 15,5 of 11,8 of 10,5 of 9,21 of 45,15 of 40,2014-08-30,UFC 177: Dillashaw vs Soto,Yancy Medeiros,Damon Jackson,0 of 0,0 of 0,16 of 38,11 of 34,,,2 of 2,4 of 4,Submission,,,Jason Herzog,,,2,29 of 55,20 of 49,,,0 of 0,0 of 5,1:54,3 Rnd (5-5-5),36 of 62,22 of 51,52%,40%,0%,0%
13 of 15,2 of 2,5 of 6,2 of 2,15 of 34,4 of 22,2014-08-30,UFC 177: Dillashaw vs Soto,Lorenz Larkin,Derek Brunson,0 of 0,6 of 6,7 of 24,10 of 27,,,0 of 1,0 of 1,Decision - Unanimous,,,Herb Dean,,,3,20 of 40,12 of 30,,,0 of 0,4 of 12,5:00,3 Rnd (5-5-5),32 of 53,98 of 125,50%,40%,0%,33%
0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,0 of 3,2014-08-30,UFC 177: Dillashaw vs Soto,Chris Wade,Cain Carrizosa,0 of 0,0 of 0,0 of 1,0 of 3,,,0 of 0,0 of 0,Submission,,,Jason Herzog,,,1,0 of 1,0 of 3,,,1 of 1,0 of 0,1:12,3 Rnd (5-5-5),5 of 6,0 of 3,0%,0%,100%,0%
3 of 4,6 of 11,0 of 1,0 of 0,15 of 46,16 of 61,2014-08-30,UFC 177: Dillashaw vs Soto,Ramsey Nijem,Diego Ferreira,3 of 11,9 of 9,13 of 52,17 of 56,,,2 of 2,2 of 3,KO/TKO,,,Herb Dean,,,2,18 of 58,25 of 70,,,2 of 4,0 of 0,1:53,3 Rnd (5-5-5),27 of 67,33 of 79,31%,35%,50%,0%
7 of 7,2 of 2,2 of 2,0 of 0,18 of 19,12 of 22,2014-09-05,UFC Fight Night: Jacare vs Mousasi,Alistair Overeem,Ben Rothwell,0 of 0,5 of 5,5 of 6,15 of 25,,,8 of 8,0 of 0,KO/TKO,,,Keith Peterson,,,1,20 of 21,17 of 27,,,0 of 1,0 of 0,2:19,3 Rnd (5-5-5),20 of 21,22 of 32,95%,62%,0%,0%
9 of 11,1 of 1,5 of 6,7 of 11,16 of 39,19 of 45,2014-09-05,UFC Fight Night: Jacare vs Mousasi,Jacare Souza,Gegard Mousasi,11 of 11,0 of 0,15 of 37,23 of 53,,,8 of 8,2 of 2,Submission,,,Herb Dean,,,3,32 of 56,26 of 56,,,4 of 10,0 of 0,4:30,5 Rnd (5-5-5-5-5),59 of 86,78 of 109,57%,46%,40%,0%
0 of 0,0 of 0,0 of 0,0 of 0,2 of 3,1 of 1,2014-09-05,UFC Fight Night: Jacare vs Mousasi,Matt Mitrione,Derrick Lewis,5 of 8,0 of 0,7 of 11,1 of 1,,,0 of 0,0 of 0,KO/TKO,,,Mario Yamasaki,,,1,7 of 11,1 of 1,,,0 of 0,0 of 0,0:41,3 Rnd (5-5-5),9 of 13,1 of 1,63%,100%,0%,0%
0 of 2,3 of 3,0 of 0,0 of 0,4 of 12,11 of 16,2014-09-05,UFC Fight Night: Jacare vs Mousasi,John Moraga,Justin Scoggins,0 of 0,2 of 2,2 of 6,6 of 11,,,2 of 4,4 of 4,Submission,,,Mario Yamasaki,,,2,4 of 12,13 of 18,,,0 of 0,3 of 3,0:47,3 Rnd (5-5-5),13 of 22,34 of 41,33%,72%,0%,100%
2 of 7,0 of 2,5 of 7,2 of 3,12 of 24,5 of 26,2014-09-05,UFC Fight Night: Jacare vs Mousasi,Sean Soriano,Chas Skelly,7 of 17,6 of 7,19 of 38,12 of 33,,,3 of 3,1 of 1,Decision - Unanimous,,,Herb Dean,,,3,24 of 48,13 of 36,,,0 of 0,4 of 7,5:00,3 Rnd (5-5-5),34 of 61,62 of 90,50%,36%,0%,57%
14 of 26,5 of 6,2 of 3,0 of 0,90 of 217,57 of 177,2014-09-05,UFC Fight Night: Jacare vs Mousasi,Al Iaquinta,Rodrigo Damm,1 of 1,0 of 0,67 of 183,51 of 168,,,12 of 12,1 of 3,KO/TKO,,,Herb Dean,,,3,93 of 221,57 of 177,,,0 of 0,0 of 5,2:26,3 Rnd (5-5-5),93 of 221,57 of 177,42%,32%,0%,0%
16 of 22,10 of 10,6 of 8,10 of 12,30 of 65,57 of 100,2014-09-05,UFC Fight Night: Jacare vs Mousasi,Rafael Natal,Chris Camozzi,0 of 0,0 of 0,6 of 36,39 of 82,,,14 of 15,18 of 20,Decision - Split,,,Keith Peterson,,,3,36 of 73,67 of 112,,,2 of 12,0 of 1,5:00,3 Rnd (5-5-5),46 of 84,86 of 134,49%,59%,16%,0%
4 of 5,4 of 8,7 of 11,1 of 3,15 of 77,37 of 105,2014-09-05,UFC Fight Night: Jacare vs Mousasi,Chris Beal,Tateki Matsuda,23 of 35,3 of 3,40 of 117,19 of 74,,,1 of 1,18 of 29,Decision - Unanimous,,,Mario Yamasaki,,,3,45 of 123,41 of 111,,,3 of 4,0 of 1,5:00,3 Rnd (5-5-5),66 of 144,70 of 142,36%,36%,75%,0%
