BODY_1,BODY_2,CLINCH_1,CLINCH_2,DISTANCE_1,DISTANCE_2,Date,Event,Fighter_1,Fighter_2,GROUND_1,GROUND_2,HEAD_1,HEAD_2,KD_1,KD_2,LEG_1,LEG_2,METHOD,PASS_1,PASS_2,REFEREE,REV_1,REV_2,ROUND,SIG_STR_1,SIG_STR_2,SUB_ATT_1,SUB_ATT_2,TD_1,TD_2,TIME,TIME_FORMAT,TOTAL_STR_1,TOTAL_STR_2,pSIG_STR_1,pSIG_STR_2,pTD_1,pTD_2
2 of 2,1 of 1,3 of 3,3 of 3,0 of 0,0 of 0,1994-09-09,UFC 3: The American Dream,Ken Shamrock,Felix Lee Mitchell,1 of 1,0 of 0,1 of 1,0 of 0,0,0,1 of 1,2 of 2,Submission,3,0,John McCarthy,0,0,1,4 of 4,3 of 3,1,0,1 of 2,0 of 0,4:34,No Time Limit,7 of 7,21 of 22,100%,100%,50%,0%
0 of 2,2 of 2,2 of 6,3 of 3,0 of 0,0 of 1,1994-09-09,UFC 3: The American Dream,Royce Gracie,Kimo Leopoldo,0 of 0,3 of 5,1 of 1,3 of 6,0,0,1 of 3,1 of 1,Submission,1,2,John McCarthy,1,1,1,2 of 6,6 of 9,1,0,0 of 2,1 of 1,4:40,No Time Limit,17 of 21,6 of 10,33%,66%,0%,100%
0 of 0,2 of 2,4 of 4,1 of 2,1 of 4,2 of 2,1994-09-09,UFC 3: The American Dream,Harold Howard,Roland Payne,4 of 4,0 of 0,9 of 12,0 of 0,1,0,0 of 0,1 of 2,KO/TKO,0,1,John McCarthy,0,0,1,9 of 12,3 of 4,0,0,0 of 1,1 of 2,0:46,No Time Limit,12 of 15,3 of 4,75%,75%,0%,50%
3 of 3,0 of 0,0 of 0,0 of 0,0 of 1,1 of 2,1994-09-09,UFC 3: The American Dream,Ken Shamrock,Christophe Leninger,8 of 8,0 of 0,5 of 6,1 of 2,0,0,0 of 0,0 of 0,KO/TKO,1,0,John McCarthy,0,0,1,8 of 9,1 of 2,0,0,1 of 1,0 of 0,4:49,No Time Limit,16 of 20,21 of 23,88%,50%,100%,0%
0 of 0,0 of 0,2 of 3,0 of 0,6 of 8,0 of 2,1994-09-09,UFC 3: The American Dream,Keith Hackney,Emmanuel Yarborough,26 of 39,1 of 3,29 of 45,1 of 5,1,0,5 of 5,0 of 0,KO/TKO,0,0,John McCarthy,0,0,1,34 of 50,1 of 5,0,0,0 of 0,0 of 1,1:59,No Time Limit,36 of 52,4 of 9,68%,20%,0%,0%
0 of 0,0 of 0,0 of 0,0 of 0,0 of 4,0 of 0,1994-12-16,UFC 4: Revenge of the Warriors,Royce Gracie,Dan Severn,0 of 0,4 of 7,0 of 1,4 of 7,0,0,0 of 3,0 of 0,Submission,0,0,John McCarthy,0,0,1,0 of 4,4 of 7,3,0,0 of 0,1 of 1,15:49,No Time Limit,80 of 84,27 of 43,0%,57%,0%,100%
0 of 0,1 of 2,0 of 0,0 of 0,0 of 0,1 of 2,1994-12-16,UFC 4: Revenge of the Warriors,Dan Severn,Marcus Bossett,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0 of 0,0 of 0,Submission,2,0,John McCarthy,0,0,1,0 of 0,1 of 2,1,0,1 of 1,0 of 0,0:52,No Time Limit,0 of 0,2 of 3,0%,50%,100%,0%
3 of 5,1 of 1,9 of 13,2 of 4,2 of 10,1 of 3,1994-12-16,UFC 4: Revenge of the Warriors,Royce Gracie,Keith Hackney,0 of 0,1 of 6,7 of 15,3 of 12,0,0,1 of 3,0 of 0,Submission,0,0,John McCarthy,0,0,1,11 of 23,4 of 13,3,0,0 of 2,0 of 0,5:32,No Time Limit,45 of 58,7 of 16,47%,30%,0%,0%
0 of 0,2 of 2,0 of 0,3 of 3,0 of 0,2 of 3,1994-12-16,UFC 4: Revenge of the Warriors,Dan Severn,Anthony Macias,0 of 0,3 of 3,0 of 0,4 of 4,0,0,0 of 0,2 of 3,Submission,1,0,John McCarthy,0,0,1,0 of 0,8 of 9,1,0,2 of 5,0 of 0,1:45,No Time Limit,0 of 0,12 of 14,0%,88%,40%,0%
--,--,--,--,--,--,1994-12-16,UFC 4: Revenge of the Warriors,Marcus Bossett,Eldo Xavier Dias,--,--,--,--,--,--,--,--,KO/TKO,--,--,John McCarthy,--,--,1,--,--,--,--,--,--,4:55,No Time Limit,--,--,--,--,--,--
0 of 1,0 of 0,0 of 0,0 of 0,2 of 7,0 of 0,1994-12-16,UFC 4: Revenge of the Warriors,Keith Hackney,Joe Son,6 of 7,0 of 0,1 of 5,0 of 0,0,0,7 of 8,0 of 0,Submission,1,1,John McCarthy,0,0,1,8 of 14,0 of 0,1,1,0 of 0,1 of 1,2:44,No Time Limit,10 of 16,4 of 4,57%,0%,0%,100%
2 of 3,0 of 0,0 of 0,0 of 0,0 of 1,0 of 0,1994-12-16,UFC 4: Revenge of the Warriors,Royce Gracie,Ron van Clief,7 of 10,0 of 2,5 of 8,0 of 2,0,0,0 of 0,0 of 0,Submission,3,0,John McCarthy,0,0,1,7 of 11,0 of 2,1,0,1 of 1,0 of 0,3:49,No Time Limit,27 of 31,0 of 2,63%,0%,100%,0%
1 of 1,2 of 2,4 of 5,4 of 4,0 of 1,1 of 4,1994-12-16,UFC 4: Revenge of the Warriors,Guy Mezger,Jason Fairn,15 of 24,4 of 4,17 of 28,5 of 8,0,1,1 of 1,2 of 2,KO/TKO,2,0,John McCarthy,0,0,1,19 of 30,9 of 12,0,0,1 of 1,0 of 0,2:13,No Time Limit,23 of 34,12 of 15,63%,75%,100%,0%
--,--,--,--,--,--,1994-12-16,UFC 4: Revenge of the Warriors,Joe Charles,Kevin Rosier,--,--,--,--,--,--,--,--,Submission,--,--,John McCarthy,--,--,1,--,--,--,--,--,--,0:14,No Time Limit,--,--,--,--,--,--
0 of 2,0 of 0,0 of 0,1 of 1,0 of 6,0 of 3,1994-12-16,UFC 4: Revenge of the Warriors,Steve Jennum,Melton Bowen,13 of 34,0 of 0,13 of 36,1 of 4,0,0,0 of 2,0 of 0,Submission,2,0,John McCarthy,0,0,1,13 of 40,1 of 4,1,0,2 of 3,0 of 0,4:47,No Time Limit,29 of 70,48 of 59,32%,25%,66%,0%
0 of 0,0 of 2,0 of 0,0 of 0,1 of 3,1 of 9,1995-04-07,UFC 5: The Return of the Beast,Ken Shamrock,Royce Gracie,9 of 19,2 of 3,5 of 17,2 of 5,0,0,5 of 5,1 of 5,Other,0,0,John McCarthy,0,0,2,10 of 22,3 of 12,0,0,1 of 1,0 of 1,5:00,1 Rnd + OT (31-5),98 of 123,355 of 366,45%,25%,100%,0%
0 of 1,0 of 0,1 of 2,2 of 5,0 of 0,0 of 1,1995-04-07,UFC 5: The Return of the Beast,Dan Severn,Dave Beneteau,1 of 1,0 of 0,1 of 1,2 of 6,0,0,1 of 1,0 of 0,Submission,1,0,John McCarthy,0,0,1,2 of 3,2 of 6,1,0,1 of 1,0 of 0,3:01,1 Rnd (30),11 of 13,5 of 10,66%,33%,100%,0%
