Date,Event,match_url
2017-12-09,UFC Fight Night: Swanson vs. Ortega,http://ufcstats.com/fight-details/1aaa1a9ceecd6063
2017-12-09,UFC Fight Night: Swanson vs. Ortega,http://ufcstats.com/fight-details/c9e19742c4146bff
2017-12-09,UFC Fight Night: Swanson vs. Ortega,http://ufcstats.com/fight-details/bc84680df666c96d
2017-12-09,UFC Fight Night: Swanson vs. Ortega,http://ufcstats.com/fight-details/6fe21a4cb2d839fd
2017-12-09,UFC Fight Night: Swanson vs. Ortega,http://ufcstats.com/fight-details/fbce8f52689bce87
2017-12-09,UFC Fight Night: Swanson vs. Ortega,http://ufcstats.com/fight-details/7a57289563f9d974
2017-12-09,UFC Fight Night: Swanson vs. Ortega,http://ufcstats.com/fight-details/f9536ea60551b840
2017-12-09,UFC Fight Night: Swanson vs. Ortega,http://ufcstats.com/fight-details/10a1947cb3feabc1
2017-12-09,UFC Fight Night: Swanson vs. Ortega,http://ufcstats.com/fight-details/ab853176cfe20b01
2017-12-09,UFC Fight Night: Swanson vs. Ortega,http://ufcstats.com/fight-details/061081f46950fdb0
2017-12-09,UFC Fight Night: Swanson vs. Ortega,http://ufcstats.com/fight-details/1ed266bed8005bbe
2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,http://ufcstats.com/fight-details/d9375ede2ec2f924
2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,http://ufcstats.com/fight-details/6f350d91fb07a819
2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,http://ufcstats.com/fight-details/11b8d7e801713abc
2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,http://ufcstats.com/fight-details/01619207a811ef01
2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,http://ufcstats.com/fight-details/e83046dd074ec0fa
2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,http://ufcstats.com/fight-details/5b8d693bd1780102
2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,http://ufcstats.com/fight-details/71dc4379c738450f
2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,http://ufcstats.com/fight-details/9a1a57b0abcd4599
2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,http://ufcstats.com/fight-details/1e3c67921162561d
2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,http://ufcstats.com/fight-details/a6fbd8964400dd89
2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,http://ufcstats.com/fight-details/535b8e5494cbc580
2017-12-30,UFC 219: Cyborg vs. Holm,http://ufcstats.com/fight-details/279b4190d9ef1379
2017-12-30,UFC 219: Cyborg vs. Holm,http://ufcstats.com/fight-details/a88a4c126d585320
2017-12-30,UFC 219: Cyborg vs. Holm,http://ufcstats.com/fight-details/3d76ed7e224e9c99
2017-12-30,UFC 219: Cyborg vs. Holm,http://ufcstats.com/fight-details/f77e3c681fe1b04e
2017-12-30,UFC 219: Cyborg vs. Holm,http://ufcstats.com/fight-details/c381ad2c0bf34dd9
2017-12-30,UFC 219: Cyborg vs. Holm,http://ufcstats.com/fight-details/147d2ab0230af48d
2017-12-30,UFC 219: Cyborg vs. Holm,http://ufcstats.com/fight-details/0be6540982a5b0cd
2017-12-30,UFC 219: Cyborg vs. Holm,http://ufcstats.com/fight-details/7e9ed49a1831056f
2017-12-30,UFC 219: Cyborg vs. Holm,http://ufcstats.com/fight-details/8f40ac90544d0003
2017-12-30,UFC 219: Cyborg vs. Holm,http://ufcstats.com/fight-details/e3a2bf2d9ee83318
2018-01-14,UFC Fight Night: Stephens vs. Choi,http://ufcstats.com/fight-details/51e684bfce8d94aa
2018-01-14,UFC Fight Night: Stephens vs. Choi,http://ufcstats.com/fight-details/0820a29a03d58282
2018-01-14,UFC Fight Night: Stephens vs. Choi,http://ufcstats.com/fight-details/f767243bb48ab9d7
2018-01-14,UFC Fight Night: Stephens vs. Choi,http://ufcstats.com/fight-details/d85c76a61a820be9
2018-01-14,UFC Fight Night: Stephens vs. Choi,http://ufcstats.com/fight-details/3b1453df439a5024
2018-01-14,UFC Fight Night: Stephens vs. Choi,http://ufcstats.com/fight-details/738e0ccad2c9224b
2018-01-14,UFC Fight Night: Stephens vs. Choi,http://ufcstats.com/fight-details/1bf1a6fc9c9acc26
2018-01-14,UFC Fight Night: Stephens vs. Choi,http://ufcstats.com/fight-details/f8bb0aed83bd8638
2018-01-14,UFC Fight Night: Stephens vs. Choi,http://ufcstats.com/fight-details/9f10afab94cafc45
2018-01-14,UFC Fight Night: Stephens vs. Choi,http://ufcstats.com/fight-details/c4ecf4b894ccbced
2018-01-14,UFC Fight Night: Stephens vs. Choi,http://ufcstats.com/fight-details/4843f369dc8b5de5
2018-01-20,UFC 220: Miocic vs. Ngannou,http://ufcstats.com/fight-details/8238f9d2fd961757
2018-01-20,UFC 220: Miocic vs. Ngannou,http://ufcstats.com/fight-details/9f96d11017f9c824
2018-01-20,UFC 220: Miocic vs. Ngannou,http://ufcstats.com/fight-details/5f617d6c19d3a281
2018-01-20,UFC 220: Miocic vs. Ngannou,http://ufcstats.com/fight-details/889207e3c622a5aa
2018-01-20,UFC 220: Miocic vs. Ngannou,http://ufcstats.com/fight-details/5cf56c22cbc24758
2018-01-20,UFC 220: Miocic vs. Ngannou,http://ufcstats.com/fight-details/f91709b071e8295a
2018-01-20,UFC 220: Miocic vs. Ngannou,http://ufcstats.com/fight-details/b9726184624ac076
2018-01-20,UFC 220: Miocic vs. Ngannou,http://ufcstats.com/fight-details/1b0fa021b1158121
2018-01-20,UFC 220: Miocic vs. Ngannou,http://ufcstats.com/fight-details/ea66be2688f542be
2018-01-20,UFC 220: Miocic vs. Ngannou,http://ufcstats.com/fight-details/0990ac7065412e76
2018-01-20,UFC 220: Miocic vs. Ngannou,http://ufcstats.com/fight-details/50385add37239184
2018-01-27,UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/fight-details/fa7cde1e2d3ae338
2018-01-27,UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/fight-details/3a94bf34e62ae5fd
2018-01-27,UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/fight-details/27901ef9e82d5690
2018-01-27,UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/fight-details/d571486369996a39
2018-01-27,UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/fight-details/04a1c5b7993fe4d5
2018-01-27,UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/fight-details/f23e2bed86b62462
2018-01-27,UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/fight-details/c5f0c83e303d80bf
2018-01-27,UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/fight-details/5a096f2acb44c776
2018-01-27,UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/fight-details/6e65bec924996b5a
2018-01-27,UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/fight-details/ce4314886c57718b
2018-01-27,UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/fight-details/4fcbee643660d679
2018-01-27,UFC Fight Night: Jacare vs. Brunson 2,http://ufcstats.com/fight-details/b8648b32caf36c5a
