Date,Event,Weight class,Fighter1,Result,Fighter2,Method,Round,Time,Note,Time (secs)
2016-01-02,UFC 195: Lawler vs. Condit,Bantamweight,Michael McDonald,def.,Masanori Kanehara,Submission (rear-naked choke),2.0,2:09,-,129
2016-01-02,UFC 195: Lawler vs. Condit,Welterweight,Alex Morono,def.,Kyle Noke,"Decision (split) (29–28, 27–30, 29–28)",3.0,5:00,-,300
2016-01-02,UFC 195: Lawler vs. Condit,Women's Strawweight,Justine Kish,def.,Nina Ansaroff,"Decision (unanimous) (29–28, 30–27, 30–27)",3.0,5:00,-,300
2016-01-02,UFC 195: Lawler vs. Condit,Lightweight,Drew Dober,def.,Scott Holtzman,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2016-01-02,UFC 195: Lawler vs. Condit,Lightweight,Dustin Poirier,def.,Joseph Duffy,"Decision (unanimous) (30–26, 30–27, 30–27)",3.0,5:00,-,300
2016-01-02,UFC 195: Lawler vs. Condit,Bantamweight,Michinori Tanaka,def.,Joe Soto,"Decision (split) (29–28, 28–29, 29–28)",3.0,5:00,-,300
2016-01-02,UFC 195: Lawler vs. Condit,Welterweight,Sheldon Westcott,def.,Edgar García,TKO (punches),1.0,3:12,-,192
2016-01-17,UFC Fight Night: Dillashaw vs. Cruz,Bantamweight,Dominick Cruz,def.,T.J. Dillashaw (c),"Decision (split) (48–47, 46–49, 49–46)",5.0,5:00,[a],300
2016-01-17,UFC Fight Night: Dillashaw vs. Cruz,Lightweight,Eddie Alvarez,def.,Anthony Pettis,"Decision (split) (29–28, 28–29, 29–28)",3.0,5:00,-,300
2016-01-17,UFC Fight Night: Dillashaw vs. Cruz,Heavyweight,Travis Browne,def.,Matt Mitrione,TKO (punches),3.0,4:09,-,249
2016-01-17,UFC Fight Night: Dillashaw vs. Cruz,Lightweight,Francisco Trinaldo,def.,Ross Pearson,"Decision (unanimous) (30–27, 29–28, 30–27)",3.0,5:00,-,300
2016-01-17,UFC Fight Night: Dillashaw vs. Cruz,Welterweight,Patrick Côté,def.,Ben Saunders,TKO (punches),2.0,1:14,-,74
2016-01-17,UFC Fight Night: Dillashaw vs. Cruz,Light Heavyweight,Ed Herman,def.,Tim Boetsch,TKO (knee and punches),2.0,1:39,-,99
2016-01-17,UFC Fight Night: Dillashaw vs. Cruz,Light Heavyweight,Francimar Barroso,def.,Elvis Mutapcic,"Decision (unanimous) (30–27, 29–28, 30–27)",3.0,5:00,-,300
2016-01-17,UFC Fight Night: Dillashaw vs. Cruz,Featherweight,Luke Sanders,def.,Maximo Blanco,Submission (rear-naked choke),1.0,3:38,-,218
2016-01-17,UFC Fight Night: Dillashaw vs. Cruz,Lightweight,Paul Felder,def.,Daron Cruickshank,Submission (rear-naked choke),3.0,3:56,-,236
2016-01-17,UFC Fight Night: Dillashaw vs. Cruz,Light Heavyweight,Ilir Latifi,def.,Sean O'Connell,KO (punches),1.0,0:30,-,30
2016-01-17,UFC Fight Night: Dillashaw vs. Cruz,Featherweight,Charles Rosa,def.,Kyle Bochniak,"Decision (unanimous) (29–28, 29–28, 30–27)",3.0,5:00,-,300
2016-01-17,UFC Fight Night: Dillashaw vs. Cruz,Bantamweight,Rob Font,def.,Joey Gomez,TKO (punches),2.0,4:13,-,253
2016-01-17,UFC Fight Night: Dillashaw vs. Cruz,Lightweight,Chris Wade,def.,Mehdi Baghdad,Submission (rear-naked choke),1.0,4:30,-,270
2016-01-30,UFC on Fox: Johnson vs. Bader,Welterweight,Bryan Barberena,def.,Sage Northcutt,Submission (arm-triangle choke),2.0,3:06,-,186
2016-01-30,UFC on Fox: Johnson vs. Bader,Light Heavyweight,Anthony Johnson,def.,Ryan Bader,KO (punches),1.0,1:26,-,86
2016-01-30,UFC on Fox: Johnson vs. Bader,Heavyweight,Ben Rothwell,def.,Josh Barnett,Submission (guillotine choke),2.0,3:48,-,228
2016-01-30,UFC on Fox: Johnson vs. Bader,Bantamweight,Jimmie Rivera,def.,Iuri Alcântara,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2016-01-30,UFC on Fox: Johnson vs. Bader,Lightweight,Carlos Diego Ferreira,def.,Olivier Aubin-Mercier,"Decision (unanimous) (29–28, 29–28, 30–27)",3.0,5:00,-,300
2016-01-30,UFC on Fox: Johnson vs. Bader,Welterweight,Tarec Saffiedine,def.,Jake Ellenberger,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2016-01-30,UFC on Fox: Johnson vs. Bader,Flyweight,Wilson Reis,def.,Dustin Ortiz,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2016-01-30,UFC on Fox: Johnson vs. Bader,Lightweight,Tony Martin,def.,Felipe Olivieri,Technical Submission (rear-naked choke),3.0,3:02,-,182
2016-01-30,UFC on Fox: Johnson vs. Bader,Welterweight,Alexander Yakovlev,def.,George Sullivan,KO (punch),1.0,3:59,-,239
2016-01-30,UFC on Fox: Johnson vs. Bader,Featherweight,Alex Caceres,def.,Masio Fullen,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2016-01-30,UFC on Fox: Johnson vs. Bader,Welterweight,Randy Brown,def.,Matt Dwyer,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2016-01-30,UFC on Fox: Johnson vs. Bader,Featherweight,Damon Jackson,vs.,Levan Makashvili,"Draw (majority) (29–27, 28–28, 28–28)",3.0,5:00,[a],300
2016-01-30,UFC on Fox: Johnson vs. Bader,Middleweight,Rafael Natal,def.,Kevin Casey,TKO (punches),3.0,3:37,-,217
2016-02-06,UFC Fight Night: Hendricks vs. Thompson,Welterweight,Stephen Thompson,def.,Johny Hendricks,KO (spinning back kick to the body and punches),1.0,3:31,-,211
2016-02-06,UFC Fight Night: Hendricks vs. Thompson,Heavyweight,Roy Nelson,def.,Jared Rosholt,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,5:00,-,300
2016-02-06,UFC Fight Night: Hendricks vs. Thompson,Light Heavyweight,Ovince Saint Preux,def.,Rafael Cavalcante,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,5:00,-,300
2016-02-06,UFC Fight Night: Hendricks vs. Thompson,Flyweight,Joseph Benavidez,def.,Zach Makovsky,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,5:00,-,300
2016-02-06,UFC Fight Night: Hendricks vs. Thompson,Light Heavyweight,Misha Cirkunov,def.,Alex Nicholson,Submission (rear-naked choke),2.0,1:28,-,88
2016-02-06,UFC Fight Night: Hendricks vs. Thompson,Welterweight,Mike Pyle,def.,Sean Spencer,TKO (elbows and knees),3.0,4:25,-,265
2016-02-06,UFC Fight Night: Hendricks vs. Thompson,Lightweight,Josh Burkman,def.,K.J. Noons,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2016-02-06,UFC Fight Night: Hendricks vs. Thompson,Heavyweight,Derrick Lewis,def.,Damian Grabowski,TKO (punches),1.0,2:17,-,137
2016-02-06,UFC Fight Night: Hendricks vs. Thompson,Flyweight,Justin Scoggins,def.,Ray Borg,"Decision (unanimous) (30–27, 30–27, 30–26)",3.0,5:00,-,300
2016-02-06,UFC Fight Night: Hendricks vs. Thompson,Featherweight,Diego Rivas,def.,Noad Lahat,KO (flying knee),2.0,0:23,-,23
2016-02-06,UFC Fight Night: Hendricks vs. Thompson,Welterweight,Mickey Gall,def.,Mike Jackson,Submission (rear-naked choke),1.0,0:45,-,45
2016-02-06,UFC Fight Night: Hendricks vs. Thompson,Featherweight,Alex White,def.,Artem Lobov,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2016-02-21,UFC Fight Night: Cowboy vs. Cowboy,Welterweight,Donald Cerrone,def.,Alex Oliveira,Submission (triangle choke),1.0,2:33,-,153
2016-02-21,UFC Fight Night: Cowboy vs. Cowboy,Middleweight,Derek Brunson,def.,Roan Carneiro,TKO (punches),1.0,2:38,-,158
2016-02-21,UFC Fight Night: Cowboy vs. Cowboy,Catchweight (142 lbs),Cody Garbrandt,def.,Augusto Mendes,TKO (punches),1.0,4:18,-,258
2016-02-21,UFC Fight Night: Cowboy vs. Cowboy,Featherweight,Dennis Bermudez,def.,Tatsuya Kawajiri,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2016-02-21,UFC Fight Night: Cowboy vs. Cowboy,Middleweight,Chris Camozzi,def.,Joe Riggs,TKO (knees),1.0,0:26,-,26
2016-02-21,UFC Fight Night: Cowboy vs. Cowboy,Lightweight,James Krause,def.,Shane Campbell,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2016-02-21,UFC Fight Night: Cowboy vs. Cowboy,Heavyweight,Shamil Abdurakhimov,def.,Anthony Hamilton,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,5:00,-,300
2016-02-21,UFC Fight Night: Cowboy vs. Cowboy,Middleweight,Oluwale Bamgbose,def.,Daniel Sarafian,KO (head kick and punches),1.0,1:00,-,60
2016-02-21,UFC Fight Night: Cowboy vs. Cowboy,Middleweight,Anthony Smith,def.,Leonardo Augusto Guimarães,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2016-02-21,UFC Fight Night: Cowboy vs. Cowboy,Welterweight,Nathan Coy,def.,Jonavin Webb,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2016-02-21,UFC Fight Night: Cowboy vs. Cowboy,Women's Bantamweight,Ashlee Evans-Smith,def.,Marion Reneau,"Decision (split) (30–27, 28–29, 29–28)",3.0,5:00,-,300
2016-02-21,UFC Fight Night: Cowboy vs. Cowboy,Women's Bantamweight,Lauren Murphy,def.,Kelly Faszholz,TKO (elbows and punches),3.0,4:55,-,295
2016-02-21,UFC Fight Night: Cowboy vs. Cowboy,Welterweight,Sean Strickland,def.,Alex Garcia,TKO (punches),3.0,4:25,-,265
2016-02-27,UFC Fight Night: Silva vs. Bisping,Middleweight,Michael Bisping,def.,Anderson Silva,"Decision (unanimous) (48–47, 48–47, 48–47)",5.0,5:00,-,300
2016-02-27,UFC Fight Night: Silva vs. Bisping,Featherweight,Makwan Amirkhani,def.,Mike Wilkinson,"Decision (unanimous) (29–28, 30–27, 29–28)",3.0,5:00,-,300
2016-02-27,UFC Fight Night: Silva vs. Bisping,Welterweight,Tom Breese,def.,Keita Nakamura,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,5:00,-,300
2016-02-27,UFC Fight Night: Silva vs. Bisping,Bantamweight,Brad Pickett,def.,Francisco Rivera,"Decision (split) (29–28, 28–29, 29–28)",3.0,5:00,-,300
2016-02-27,UFC Fight Night: Silva vs. Bisping,Bantamweight,Davey Grant,def.,Marlon Vera,"Decision (unanimous) (30–26, 30–26, 30–26)",3.0,5:00,[a],300
2016-02-27,UFC Fight Night: Silva vs. Bisping,Middleweight,Gegard Mousasi,def.,Thales Leites,"Decision (unanimous) (30–27, 29–28, 30–27)",3.0,5:00,-,300
2016-02-27,UFC Fight Night: Silva vs. Bisping,Featherweight,Arnold Allen,def.,Yaotzin Meza,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2016-02-27,UFC Fight Night: Silva vs. Bisping,Lightweight,David Teymur,def.,Martin Svensson,TKO (head kick and punches),2.0,1:26,-,86
2016-02-27,UFC Fight Night: Silva vs. Bisping,Lightweight,Teemu Packalen,def.,Thibault Gouti,Submission (rear-naked choke),1.0,0:24,-,24
2016-02-27,UFC Fight Night: Silva vs. Bisping,Middleweight,Scott Askham,def.,Chris Dempsey,KO (punch and head kick),1.0,4:45,-,285
2016-02-27,UFC Fight Night: Silva vs. Bisping,Lightweight,Rustam Khabilov,def.,Norman Parke,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2016-02-27,UFC Fight Night: Silva vs. Bisping,Middleweight,Krzysztof Jotko,def.,Brad Scott,"Decision (unanimous) (29–28, 30–27, 29–28)",3.0,5:00,-,300
2016-02-27,UFC Fight Night: Silva vs. Bisping,Heavyweight,Daniel Omielańczuk,def.,Jarjis Danho,"Technical Decision (majority) (29–29, 29–28, 29–28)",3.0,1:31,[b],91
2016-03-05,UFC 196: McGregor vs. Diaz,Welterweight,Nate Diaz,def.,Conor McGregor,Submission (rear-naked choke),2.0,4:12,-,252
2016-03-05,UFC 196: McGregor vs. Diaz,Women's Bantamweight,Miesha Tate,def.,Holly Holm (c),Technical Submission (rear-naked choke),5.0,3:30,[a],210
2016-03-05,UFC 196: McGregor vs. Diaz,Light Heavyweight,Ilir Latifi,def.,Gian Villante,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2016-03-05,UFC 196: McGregor vs. Diaz,Light Heavyweight,Corey Anderson,def.,Tom Lawlor,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,5:00,-,300
2016-03-05,UFC 196: McGregor vs. Diaz,Welterweight,Siyar Bahadurzada,def.,Brandon Thatch,Submission (arm-triangle choke),3.0,4:11,-,251
2016-03-05,UFC 196: McGregor vs. Diaz,Women's Bantamweight,Amanda Nunes,def.,Valentina Shevchenko,"Decision (unanimous) (29–28, 29–27, 29–27)",3.0,5:00,-,300
2016-03-05,UFC 196: McGregor vs. Diaz,Middleweight,Vitor Miranda,def.,Marcelo Guimarães,TKO (head kick and punches),2.0,1:09,-,69
2016-03-05,UFC 196: McGregor vs. Diaz,Featherweight,Darren Elkins,def.,Chas Skelly,"Decision (unanimous) (30–27, 29–27, 30–26)",3.0,5:00,-,300
2016-03-05,UFC 196: McGregor vs. Diaz,Lightweight,Diego Sanchez,def.,Jim Miller,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2016-03-05,UFC 196: McGregor vs. Diaz,Lightweight,Jason Saggo,def.,Justin Salas,TKO (punches),1.0,4:31,-,271
2016-03-05,UFC 196: McGregor vs. Diaz,Featherweight,Teruto Ishihara,def.,Julian Erosa,KO (punches),2.0,0:34,-,34
2016-03-05,UFC 196: McGregor vs. Diaz,Welterweight,Nordine Taleb,def.,Erick Silva,KO (punches),2.0,1:34,-,94
2016-03-20,UFC Fight Night: Hunt vs. Mir,Heavyweight,Mark Hunt,def.,Frank Mir,KO (punch),1.0,3:01,-,181
2016-03-20,UFC Fight Night: Hunt vs. Mir,Welterweight,Neil Magny,def.,Hector Lombard,TKO (punches),3.0,0:46,-,46
2016-03-20,UFC Fight Night: Hunt vs. Mir,Lightweight,Jake Matthews,def.,Johnny Case,Submission (rear-naked choke),3.0,4:45,-,285
2016-03-20,UFC Fight Night: Hunt vs. Mir,Middleweight,Dan Kelly,def.,Antônio Carlos Júnior,TKO (punches),3.0,1:36,-,96
2016-03-20,UFC Fight Night: Hunt vs. Mir,Light Heavyweight,Steve Bossé,def.,James Te Huna,KO (punch),1.0,0:52,-,52
2016-03-20,UFC Fight Night: Hunt vs. Mir,Welterweight,Alan Jouban,def.,Brendan O'Reilly,TKO (elbows and punches),1.0,2:15,-,135
2016-03-20,UFC Fight Night: Hunt vs. Mir,Featherweight,Dan Hooker,def.,Mark Eddiva,Submission (guillotine choke),1.0,1:24,-,84
2016-03-20,UFC Fight Night: Hunt vs. Mir,Women's Bantamweight,Leslie Smith,def.,Rin Nakai,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,5:00,-,300
2016-03-20,UFC Fight Night: Hunt vs. Mir,Welterweight,Viscardi Andrade,vs.,Richard Walsh,No Contest (overturned),3.0,5:00,[a],300
2016-03-20,UFC Fight Night: Hunt vs. Mir,Lightweight,Ross Pearson,def.,Chad Laprise,"Decision (split) (28–30, 30–27, 29–28)",3.0,5:00,-,300
2016-03-20,UFC Fight Night: Hunt vs. Mir,Lightweight,Alan Patrick,def.,Damien Brown,"Decision (unanimous) (30–26, 30–27, 30–27)",3.0,5:00,-,300
2016-03-20,UFC Fight Night: Hunt vs. Mir,Women's Strawweight,Bec Rawlings,def.,Seo Hee Ham,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,5:00,-,300
2016-04-10,UFC Fight Night: Rothwell vs. dos Santos,Heavyweight,Junior dos Santos,def.,Ben Rothwell,"Decision (unanimous) (50–45, 50–45, 50–45)",5.0,5:00,-,300
2016-04-10,UFC Fight Night: Rothwell vs. dos Santos,Heavyweight,Derrick Lewis,def.,Gabriel Gonzaga,KO (punches),1.0,4:48,-,288
2016-04-10,UFC Fight Night: Rothwell vs. dos Santos,Heavyweight,Francis Ngannou,def.,Curtis Blaydes,TKO (doctor stoppage),2.0,5:00,-,300
2016-04-10,UFC Fight Night: Rothwell vs. dos Santos,Heavyweight,Timothy Johnson,def.,Marcin Tybura,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2016-04-10,UFC Fight Night: Rothwell vs. dos Santos,Light Heavyweight,Jan Błachowicz,def.,Igor Pokrajac,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2016-04-10,UFC Fight Night: Rothwell vs. dos Santos,Women's Strawweight,Maryna Moroz,def.,Cristina Stanciu,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2016-04-10,UFC Fight Night: Rothwell vs. dos Santos,Welterweight,Zak Cummings,def.,Nicolas Dalby,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2016-04-10,UFC Fight Night: Rothwell vs. dos Santos,Lightweight,Mairbek Taisumov,def.,Damir Hadžović,TKO (punch),1.0,3:44,-,224
2016-04-10,UFC Fight Night: Rothwell vs. dos Santos,Bantamweight,Damian Stasiak,def.,Filip Pejić,Submission (rear-naked choke),1.0,2:16,-,136
2016-04-10,UFC Fight Night: Rothwell vs. dos Santos,Featherweight,Lucas Martins,def.,Robert Whiteford,"Decision (split) (29–28, 28–29, 30–27)",3.0,5:00,-,300
2016-04-10,UFC Fight Night: Rothwell vs. dos Santos,Heavyweight,Jared Cannonier,def.,Cyril Asker,KO (punches and elbows),1.0,2:44,-,164
2016-04-10,UFC Fight Night: Rothwell vs. dos Santos,Middleweight,Bojan Veličković,def.,Alessio Di Chirico,"Decision (unanimous) (29–28, 29–28, 30–27)",3.0,5:00,-,300
2016-04-10,UFC Fight Night: Rothwell vs. dos Santos,Bantamweight,Alejandro Pérez,def.,Ian Entwistle,TKO (punches and elbows),1.0,4:04,-,244
2016-04-16,UFC on Fox: Teixeira vs. Evans,Featherweight,Cub Swanson,def.,Hacran Dias,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2016-04-16,UFC on Fox: Teixeira vs. Evans,Women's Strawweight,Rose Namajunas,def.,Tecia Torres,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2016-04-16,UFC on Fox: Teixeira vs. Evans,Catchweight (160 lbs),Khabib Nurmagomedov,def.,Darrell Horcher,TKO (punches),2.0,3:38,-,218
2016-04-16,UFC on Fox: Teixeira vs. Evans,Lightweight,Michael Chiesa,def.,Beneil Dariush,Submission (rear-naked choke),2.0,1:20,-,80
2016-04-16,UFC on Fox: Teixeira vs. Evans,Light Heavyweight,Glover Teixeira,def.,Rashad Evans,KO (punch),1.0,1:48,-,108
2016-04-16,UFC on Fox: Teixeira vs. Evans,Welterweight,Santiago Ponzinibbio,def.,Court McGee,TKO (punches),1.0,4:15,-,255
2016-04-16,UFC on Fox: Teixeira vs. Evans,Welterweight,Michael Graves,def.,Randy Brown,Submission (rear-naked choke),2.0,2:31,-,151
2016-04-16,UFC on Fox: Teixeira vs. Evans,Bantamweight,John Dodson,def.,Manvel Gamburyan,TKO (punches),1.0,0:37,-,37
2016-04-16,UFC on Fox: Teixeira vs. Evans,Middleweight,Cezar Ferreira,def.,Oluwale Bamgbose,"Decision (unanimous) (29–28, 29–28, 29–27)",3.0,5:00,-,300
2016-04-16,UFC on Fox: Teixeira vs. Evans,Welterweight,Elizeu Zaleski dos Santos,def.,Omari Akhmedov,TKO (knees),3.0,3:03,-,183
2016-04-16,UFC on Fox: Teixeira vs. Evans,Women's Bantamweight,Raquel Pennington,def.,Bethe Correia,"Decision (split) (29–28, 28–29, 29–28)",3.0,5:00,-,300
2016-04-23,UFC 197: Jones vs. Saint Preux,Light Heavyweight,Jon Jones,def.,Ovince Saint Preux,"Decision (unanimous) (50–44, 50–45, 50–45)",5.0,5:00,[a],300
2016-04-23,UFC 197: Jones vs. Saint Preux,Flyweight,Demetrious Johnson (c),def.,Henry Cejudo,TKO (knees and punches),1.0,2:49,[b],169
2016-04-23,UFC 197: Jones vs. Saint Preux,Lightweight,Edson Barboza,def.,Anthony Pettis,"Decision (unanimous) (29–28, 29–28, 30–27)",3.0,5:00,-,300
2016-04-23,UFC 197: Jones vs. Saint Preux,Middleweight,Robert Whittaker,def.,Rafael Natal,"Decision (unanimous) (29–28, 30–27, 30–27)",3.0,5:00,-,300
2016-04-23,UFC 197: Jones vs. Saint Preux,Featherweight,Yair Rodríguez,def.,Andre Fili,KO (flying head kick),2.0,2:15,-,135
2016-04-23,UFC 197: Jones vs. Saint Preux,Flyweight,Sergio Pettis,def.,Chris Kelades,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2016-04-23,UFC 197: Jones vs. Saint Preux,Welterweight,Danny Roberts,def.,Dominique Steele,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2016-04-23,UFC 197: Jones vs. Saint Preux,Women's Strawweight,Carla Esparza,def.,Juliana Lima,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2016-04-23,UFC 197: Jones vs. Saint Preux,Lightweight,James Vick,def.,Glaico França,"Decision (unanimous) (29–28, 29–28, 30–27)",3.0,5:00,-,300
2016-04-23,UFC 197: Jones vs. Saint Preux,Heavyweight,Walt Harris,def.,Cody East,TKO (punches),1.0,4:18,-,258
2016-04-23,UFC 197: Jones vs. Saint Preux,Light Heavyweight,Marcos Rogério de Lima,def.,Clint Hester,Submission (arm-triangle choke),1.0,4:35,-,275
2016-04-23,UFC 197: Jones vs. Saint Preux,Lightweight,Kevin Lee,def.,Efrain Escudero,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2016-05-08,UFC Fight Night: Overeem vs. Arlovski,Heavyweight,Alistair Overeem,def.,Andrei Arlovski,TKO (crane kick and punches),2.0,1:12,-,72
2016-05-08,UFC Fight Night: Overeem vs. Arlovski,Heavyweight,Stefan Struve,def.,Antônio Silva,KO (elbows),1.0,0:16,-,16
2016-05-08,UFC Fight Night: Overeem vs. Arlovski,Welterweight,Gunnar Nelson,def.,Albert Tumenov,Submission (neck crank),2.0,3:15,-,195
2016-05-08,UFC Fight Night: Overeem vs. Arlovski,Women's Bantamweight,Germaine de Randamie,def.,Anna Elmose,TKO (knee to the body and punches),1.0,3:46,-,226
2016-05-08,UFC Fight Night: Overeem vs. Arlovski,Light Heavyweight,Nikita Krylov,def.,Francimar Barroso,Submission (rear-naked choke),2.0,3:11,-,191
2016-05-08,UFC Fight Night: Overeem vs. Arlovski,Women's Strawweight,Karolina Kowalkiewicz,def.,Heather Jo Clark,"Decision (unanimous) (29–28, 29–28, 30–27)",3.0,5:00,-,300
2016-05-08,UFC Fight Night: Overeem vs. Arlovski,Lightweight,Rustam Khabilov,def.,Chris Wade,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,5:00,-,300
2016-05-08,UFC Fight Night: Overeem vs. Arlovski,Middleweight,Magnus Cedenblad,def.,Garreth McLellan,TKO (head kick and punches),2.0,0:47,-,47
2016-05-08,UFC Fight Night: Overeem vs. Arlovski,Lightweight,Josh Emmett,def.,Jon Tuck,"Decision (split) (29–28, 28–29, 29–28)",3.0,5:00,-,300
2016-05-08,UFC Fight Night: Overeem vs. Arlovski,Lightweight,Reza Madadi,def.,Yan Cabral,TKO (punches),3.0,1:56,-,116
2016-05-08,UFC Fight Night: Overeem vs. Arlovski,Flyweight,Kyoji Horiguchi,def.,Neil Seery,"Decision (unanimous) (30–26, 30–27, 30–27)",3.0,5:00,-,300
2016-05-08,UFC Fight Night: Overeem vs. Arlovski,Welterweight,Leon Edwards,def.,Dominic Waters,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2016-05-08,UFC Fight Night: Overeem vs. Arlovski,Flyweight,Ulka Sasaki,def.,Willie Gates,Submission (rear-naked choke),2.0,3:30,-,210
2016-05-14,UFC 198: Werdum vs. Miocic,Heavyweight,Stipe Miocic,def.,Fabrício Werdum (c),KO (punch),1.0,2:47,[a],167
2016-05-14,UFC 198: Werdum vs. Miocic,Middleweight,Ronaldo Souza,def.,Vitor Belfort,TKO (punches),1.0,4:38,-,278
2016-05-14,UFC 198: Werdum vs. Miocic,Catchweight (140 lbs),Cris Cyborg,def.,Leslie Smith,TKO (punches),1.0,1:21,-,81
2016-05-14,UFC 198: Werdum vs. Miocic,Light Heavyweight,Maurício Rua,def.,Corey Anderson,"Decision (split) (28–29, 29–28, 29–28)",3.0,5:00,-,300
2016-05-14,UFC 198: Werdum vs. Miocic,Welterweight,Bryan Barberena,def.,Warlley Alves,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2016-05-14,UFC 198: Werdum vs. Miocic,Welterweight,Demian Maia,def.,Matt Brown,Submission (rear-naked choke),3.0,4:31,-,271
2016-05-14,UFC 198: Werdum vs. Miocic,Middleweight,Thiago Santos,def.,Nate Marquardt,KO (punches),1.0,3:39,-,219
2016-05-14,UFC 198: Werdum vs. Miocic,Lightweight,Francisco Trinaldo,def.,Yancy Medeiros,"Decision (unanimous) (29–26, 30–27, 30–26)",3.0,5:00,-,300
2016-05-14,UFC 198: Werdum vs. Miocic,Bantamweight,John Lineker,def.,Rob Font,"Decision (unanimous) (30–27, 29–28, 30–26)",3.0,5:00,-,300
2016-05-14,UFC 198: Werdum vs. Miocic,Light Heavyweight,Antônio Rogério Nogueira,def.,Patrick Cummins,TKO (punches),1.0,4:52,-,292
2016-05-14,UFC 198: Werdum vs. Miocic,Welterweight,Sérgio Moraes,vs.,Luan Chagas,"Draw (split) (29–28, 28–29, 28–28)",3.0,5:00,-,300
2016-05-14,UFC 198: Werdum vs. Miocic,Featherweight,Renato Moicano,def.,Zubaira Tukhugov,"Decision (split) (28–29, 29–28, 29–28)",3.0,5:00,-,300
2016-05-29,UFC Fight Night: Almeida vs. Garbrandt,Bantamweight,Cody Garbrandt,def.,Thomas Almeida,KO (punches),1.0,2:53,-,173
2016-05-29,UFC Fight Night: Almeida vs. Garbrandt,Featherweight,Jeremy Stephens,def.,Renan Barão,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2016-05-29,UFC Fight Night: Almeida vs. Garbrandt,Welterweight,Rick Story,def.,Tarec Saffiedine,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,5:00,-,300
2016-05-29,UFC Fight Night: Almeida vs. Garbrandt,Middleweight,Chris Camozzi,def.,Vitor Miranda,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2016-05-29,UFC Fight Night: Almeida vs. Garbrandt,Welterweight,Lorenz Larkin,def.,Jorge Masvidal,"Decision (split) (29–28, 28–29, 29–28)",3.0,5:00,-,300
2016-05-29,UFC Fight Night: Almeida vs. Garbrandt,Heavyweight,Adam Milstead,def.,Chris de la Rocha,TKO (punches),2.0,4:01,-,241
2016-05-29,UFC Fight Night: Almeida vs. Garbrandt,Women's Bantamweight,Sara McMann,def.,Jessica Eye,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2016-05-29,UFC Fight Night: Almeida vs. Garbrandt,Lightweight,Abel Trujillo,def.,Jordan Rinaldi,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
